dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,5.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8146753246753248,0.0,0.3946253746253746,0.3887362637362637,0.1919191919191918,ROC AUROC,0.6950354609929078,0.6576832151300236,0.0373522458628842,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,4.0,16.0,35,0.5428571428571429,ROC AUROC,0.8733549783549783,0.8702380952380953,0.003116883116883,0.4317513150465095,0.4594155844155844,0.0817350579839428,ROC AUROC,0.6515366430260048,0.6345153664302601,0.0170212765957447,archived Table_S19 variant=full_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,48.0,68,0.2941176470588235,macro OvR AUROC,0.8675020172112156,0.8584349758935712,0.0090670413176443,0.587718335862909,0.6102655830323238,0.0013820053373999,macro OvR AUROC,0.8373990782968349,0.795372060616021,0.0420270176808139,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8830517487138596,0.0,0.392921603199259,0.4244505494505494,0.015,macro OvR AUROC,0.8486839517296811,0.85785344148254,-0.0091694897528588,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,22.0,86,0.7441860465116279,macro OvR AUROC,0.8705392680863664,0.8705392680863664,0.0,0.1280939950608618,0.1512033045977011,-0.138127336580945,macro OvR AUROC,0.8096836365189609,0.85785344148254,-0.048169804963579,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,reference,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,2.0,24.0,86,0.7209302325581395,macro OvR AUROC,0.8824375665218811,0.8824375665218811,0.0,0.2119176802103631,0.2023731048121292,-0.0466666666666668,macro OvR AUROC,0.8140421568134086,0.85785344148254,-0.0438112846691313,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mount_sinai,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,47.0,119,0.6050420168067228,macro OvR AUROC,0.8931031610934811,0.8913131099016475,0.0017900511918336,0.257250517522355,0.2561252100942777,-0.043617021276596,macro OvR AUROC,0.6768342054679263,0.7295534321697112,-0.0527192267017849,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mount_sinai,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,32.0,119,0.73109243697479,macro OvR AUROC,0.8855579077607757,0.8855579077607757,0.0,0.1324444471211004,0.1777108881456707,-0.1150449473731765,macro OvR AUROC,0.7235480704957449,0.7295534321697112,-0.0060053616739663,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mount_sinai,reference,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,29.0,119,0.7563025210084033,macro OvR AUROC,0.8821187782585487,0.8821187782585487,0.0,0.1786342109540644,0.1998300827423167,-0.0444444444444445,macro OvR AUROC,0.6636112025646909,0.7295534321697112,-0.0659422296050203,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,rush,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,2.0,48.0,57,0.1578947368421053,macro OvR AUROC,0.8846499736443413,0.8846499736443413,0.0,0.7302919546340598,0.7617845117845118,0.0104166666666667,macro OvR AUROC,0.7874558591232881,0.7999922011224297,-0.0125363419991416,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,rush,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,1.0,13.0,57,0.7719298245614035,macro OvR AUROC,0.8765536218536731,0.8765536218536731,0.0,0.1958754632095593,0.2378033151059466,-0.021209740769835,macro OvR AUROC,0.7714802569832172,0.7999922011224297,-0.0285119441392125,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,svm_l1,emory,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,1.0,32.0,52,0.3846153846153846,macro OvR AUROC,0.8757680306670835,0.8757680306670835,0.0,0.5011047030302745,0.5344299489506523,0.0711805555555553,macro OvR AUROC,0.7756249794568388,0.7915665923689003,-0.0159416129120614,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
