dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,highest_development_cv_run,4.0,10.0,26,0.6153846153846154,ROC AUROC,0.8171645021645022,0.8171645021645022,0.0,0.47348290598290604,0.5205128205128206,0.0703634669151908,,,,,,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,fixed_run_1,1.0,11.0,26,0.5769230769230769,ROC AUROC,0.8171645021645022,0.7920995670995671,0.025064935064935123,0.47348290598290604,0.49759615384615385,0.0703634669151908,,,,,,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,legacy_top_three_medoid,2.0,14.0,26,0.46153846153846156,ROC AUROC,0.8171645021645022,0.8025757575757575,0.014588744588744706,0.47348290598290604,0.540625,0.0703634669151908,ROC AUROC,0.6657210401891254,0.6576832151300236,0.008037825059101777,archived Table_S19 variant=no_penalty_medoid; joined after locking,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,all_run_medoid,2.0,14.0,26,0.46153846153846156,ROC AUROC,0.8171645021645022,0.8025757575757575,0.014588744588744706,0.47348290598290604,0.540625,0.0703634669151908,,,,,,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,regret_constrained_medoid_abs_0.01,4.0,10.0,26,0.6153846153846154,ROC AUROC,0.8171645021645022,0.8171645021645022,0.0,0.47348290598290604,0.5205128205128206,0.0703634669151908,,,,,,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,Direct,,26.0,26,0.0,ROC AUROC,0.8171645021645022,0.7718614718614718,0.0453030303030304,,,,ROC AUROC,0.6576832151300236,0.6576832151300236,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,no_penalty,RFECV-only,,14.0,26,0.46153846153846156,ROC AUROC,0.8171645021645022,0.7714718614718615,0.045692640692640674,,,,,,,,,False,complete,Comparator rescored with the same development-only CV design.
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,highest_development_cv_run,5.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8146753246753248,0.0,0.3946253746253746,0.3887362637362637,0.19191919191919182,ROC AUROC,0.6950354609929078,0.6576832151300236,0.037352245862884215,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,fixed_run_1,1.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8050865800865802,0.009588744588744591,0.3946253746253746,0.3425824175824176,0.19191919191919182,ROC AUROC,0.6851063829787234,0.6576832151300236,0.027423167848699803,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,legacy_top_three_medoid,5.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8146753246753248,0.0,0.3946253746253746,0.3887362637362637,0.19191919191919182,ROC AUROC,0.6950354609929078,0.6576832151300236,0.037352245862884215,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,all_run_medoid,2.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.7985064935064935,0.016168831168831277,0.3946253746253746,0.45167332667332666,0.19191919191919182,,,,,,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,5.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8146753246753248,0.0,0.3946253746253746,0.3887362637362637,0.19191919191919182,ROC AUROC,0.6950354609929078,0.6576832151300236,0.037352245862884215,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,Direct,,26.0,26,0.0,ROC AUROC,0.8146753246753248,0.7718614718614718,0.04281385281385297,,,,ROC AUROC,0.6576832151300236,0.6576832151300236,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,RFECV-only,,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8022727272727274,0.012402597402597415,,,,ROC AUROC,0.6822695035460993,0.6576832151300236,0.024586288416075686,archived Table_S19 variant=rfecv_only; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,highest_development_cv_run,1.0,16.0,35,0.5428571428571429,ROC AUROC,0.8800432900432901,0.8800432900432901,0.0,0.46661591090901433,0.44375,0.14398496240601477,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,fixed_run_1,1.0,16.0,35,0.5428571428571429,ROC AUROC,0.8800432900432901,0.8800432900432901,0.0,0.46661591090901433,0.44375,0.14398496240601477,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,legacy_top_three_medoid,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,ROC AUROC,0.6226950354609929,0.6345153664302601,-0.011820330969267157,archived Table_S19 variant=no_penalty_medoid; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,all_run_medoid,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,regret_constrained_medoid_abs_0.01,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,,,,,,False,complete,
