dataset,branch,center,cap,condition,rfecv_metric,ga_base_score_metric,locking_metric,heldout_evaluation_metrics,development_metrics_aligned,warning,legacy_configuration
CGGA,boruta_rf,CGGA fixed split,not_applicable,no_penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
CGGA,boruta_rf,CGGA fixed split,not_applicable,penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
CGGA,svm_l1,CGGA fixed split,not_applicable,no_penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
CGGA,svm_l1,CGGA fixed split,not_applicable,penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
CGGA,xgboost,CGGA fixed split,not_applicable,no_penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
CGGA,xgboost,CGGA fixed split,not_applicable,penalty,roc_auc,accuracy,roc_auc,roc_auc|auprc|balanced_accuracy,False,staged_heuristic_mixed_development_metrics,True
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,roc_auc_ovr_weighted,balanced_accuracy,macro_ovr_auroc,macro_auroc|weighted_auroc|macro_auprc|weighted_auprc|balanced_accuracy|macro_f1|accuracy,False,staged_heuristic_mixed_development_metrics,True
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,roc_auc_ovr_weighted,balanced_accuracy,macro_ovr_auroc,macro_auroc|weighted_auroc|macro_auprc|weighted_auprc|balanced_accuracy|macro_f1|accuracy,False,staged_heuristic_mixed_development_metrics,True
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,roc_auc_ovr_weighted,balanced_accuracy,macro_ovr_auroc,macro_auroc|weighted_auroc|macro_auprc|weighted_auprc|balanced_accuracy|macro_f1|accuracy,False,staged_heuristic_mixed_development_metrics,True
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,roc_auc_ovr_weighted,balanced_accuracy,macro_ovr_auroc,macro_auroc|weighted_auroc|macro_auprc|weighted_auprc|balanced_accuracy|macro_f1|accuracy,False,staged_heuristic_mixed_development_metrics,True
