dataset,branch,center,cap,condition,target_count,selected_count,target_deviation,fraction_zero_legacy_fitness,zero_fraction_denominator,number_all_zero_generations,number_uniform_sampling_fallbacks,uniform_fallback_basis,final_development_score,selected_run,archived_run_id_zero_based,warning_status,known_failure_mode
CGGA,boruta_rf,CGGA fixed split,not_applicable,no_penalty,14,14,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8025757575757575,2,1,none,False
CGGA,boruta_rf,CGGA fixed split,not_applicable,penalty,9,9,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8146753246753248,5,4,none,False
CGGA,svm_l1,CGGA fixed split,not_applicable,no_penalty,15,23,8,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8764935064935067,4,3,none,False
CGGA,svm_l1,CGGA fixed split,not_applicable,penalty,15,16,1,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8702380952380953,4,3,none,False
CGGA,xgboost,CGGA fixed split,not_applicable,no_penalty,20,35,15,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8678571428571429,3,2,none,False
CGGA,xgboost,CGGA fixed split,not_applicable,penalty,20,19,1,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8455627705627705,1,0,none,False
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,49,48,1,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8584349758935712,5,4,none,False
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,12,16,4,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8447479419565547,3,2,none,False
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,25,25,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8584641872733197,1,0,none,False
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,45,45,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8830517487138596,5,4,none,False
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,13,22,9,0.0,five retained run-best candidates,5,5,inferred: legacy generation best=0 implies all weights=0,0.8705392680863664,3,2,all_zero_generation_detected,False
