figure,v11_asset,asset_sha256,asset_width_units,asset_height_units,presentation_assets,current_latex_directive,target_width_mm,grid_policy,bold_policy,source_class,source_asset,source_exists,presentation_builder,v11_action,status
Figure 1,manuscript/latex_v12_overleaf/figures/figure_1.pdf,eb5b604c5c6aa53f92cab46381edbc408101cc9488afc092bb1cf5daf4c9767c,1506,726.960,figure_1.pdf:eb5b604c5c6aa53f92cab46381edbc408101cc9488afc092bb1cf5daf4c9767c; figure_1.png:db0cfa30cc67377e1fed49d224f2b839eb19900addeeff00dd5945bf9ccc6bb1,width=180mm,180,no background grid,panel labels only,author-supplied editable SVG,figures/figure_1_editable_source_v2.svg,True,scripts/render_v12_figure1_from_svg.ps1,panel-label font normalized to 37.5 px; scientific content and geometry unchanged,validated
Figure 2,manuscript/latex_v11_overleaf/figures/figure_2.png,65762100331d70284ec4148c4c7359f748029cf0f3f34d83fabed1cd7cc2ba45,4016,3030,figure_2.png:65762100331d70284ec4148c4c7359f748029cf0f3f34d83fabed1cd7cc2ba45,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,outputs/V6_manuscript_assets_20260731/figures/main/Figure_2_ADNI_paired_differences_V6.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure 3,manuscript/latex_v11_overleaf/figures/figure_3.png,be7c3ecb26457d0542660dc86e32da6fa1ead460972dc0b65db45755a9abb691,4016,3543,figure_3.png:be7c3ecb26457d0542660dc86e32da6fa1ead460972dc0b65db45755a9abb691,width=170mm,170,no background grid,panel labels only,frozen empirical SVG plus terminology-only presentation transform,outputs/AMPAD_Figure3_publication_assets_20260731/figures/main/Figure_3_AMPAD_budget_calibration.png,True,scripts/build_v11_figure3_terminology.py,Low cap relabeled Small; values and geometry unchanged,validated
Figure 4,manuscript/latex_v11_overleaf/figures/figure_4.png,6adb77df7f5dc205fb761c3d7dbbfb2d533e2de4c3263ce7e006a1f955ef145a,4016,3543,figure_4.png:6adb77df7f5dc205fb761c3d7dbbfb2d533e2de4c3263ce7e006a1f955ef145a,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/main/Figure_5/Figure_5_CGGA_locked_heldout_evaluation.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure 5,manuscript/latex_v12_overleaf/figures/figure_5.pdf,a9ee3d8aafd75010ec5271248274bed717a49a4530299f98122a3e764cba6274,481.889,255.600,figure_5.pdf:a9ee3d8aafd75010ec5271248274bed717a49a4530299f98122a3e764cba6274; figure_5.svg:3b421d840ea949bc10dd0d97f7990b919563aee619df87173de118f44a6c74eb; figure_5.png:1f1b27f5d15b2ba2e10f0955470f909279ecfea8c23f9b4bb03c89227273af2c,width=170mm,170,no background grid,panel labels only,machine-readable aggregate tables plus native plotting builder,supplementary_data/cgga_figure5,True,scripts/build_cgga_figure5.py,results-focused three-panel native rebuild,validated
Figure S1,manuscript/latex_v11_overleaf/figures/figure_s1.png,6311b5046b5dd2a265f3ac0b7c10e98343a8781910f1f6bbd358578714b90f76,4016,3669,figure_s1.png:6311b5046b5dd2a265f3ac0b7c10e98343a8781910f1f6bbd358578714b90f76,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,analysis/candidate_priority_1_4/figures/Supplementary_Figure_S1_abcd_heldout_performance_and_paired_differences.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S2,manuscript/latex_v11_overleaf/figures/figure_s2.png,74a93b38d6635b2d18db37a945ae81dde1a03266f1d372f9038c72cf9da225f5,4015,2910,figure_s2.png:74a93b38d6635b2d18db37a945ae81dde1a03266f1d372f9038c72cf9da225f5,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/archival_figure_s2_multiclass_diagnostics_170mm.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S3,manuscript/latex_v11_overleaf/figures/figure_s3.png,490ecf79b46e56347e9794bc2b0f514aad995be77bee73fe425fb77e7352508e,4015,2580,figure_s3.png:490ecf79b46e56347e9794bc2b0f514aad995be77bee73fe425fb77e7352508e,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/archival_figure_s3_signature_composition_170mm.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S4,manuscript/latex_v11_overleaf/figures/figure_s4.png,0ae9cdd21dd71708085e6f3437db94c55f381a4d013be80cc02bb8136e95ea03,4016,4758,figure_s4.png:0ae9cdd21dd71708085e6f3437db94c55f381a4d013be80cc02bb8136e95ea03,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,outputs/V4_manuscript_assets_20260731/figures/supplementary/Supplementary_Figure_S4_full_Bayesian_reference.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
Figure S5,manuscript/latex_v11_overleaf/figures/figure_s5.png,39418b4a47dfe40300e1300bf65386e195bfd9c9ec0a0b46099148132220820d,4080,3194,figure_s5.png:39418b4a47dfe40300e1300bf65386e195bfd9c9ec0a0b46099148132220820d,width=170mm,170,no background grid,panel labels only,frozen publication asset plus deterministic presentation transform,manuscript/figures/supplementary/archival_S5_authoritative.png,True,analysis/rebuild_v10_gridfree_figures.py,"audit source; native rebuild where available, otherwise deterministic transform",validated
