condition,Center,Branch,Cap,candidate_bank,status,retained_records,unique_masks,duplicate_records,maximum_within_duplicate_score_range,primary_selected_hash,deduplicated_selected_hash,selected_mask_changed,held_out_inputs_used
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,93adfd5526c47ad52e3f2f55358dd1e66a16dd1ef1920910eaeae181967fbc68,93adfd5526c47ad52e3f2f55358dd1e66a16dd1ef1920910eaeae181967fbc68,False,False
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,False,False
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,1f88bc9d334142ac1ac9cf14e94e0fa52d32067e6610b746e2e8a099fea6a069,1f88bc9d334142ac1ac9cf14e94e0fa52d32067e6610b746e2e8a099fea6a069,False,False
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,False,False
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,21ef98b273b15baa024df5169256b08b0d7bc15628433a56b4bfd2490e0f70a1,21ef98b273b15baa024df5169256b08b0d7bc15628433a56b4bfd2490e0f70a1,False,False
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,False,False
emory|svm_l1|low,Emory,SVM-L1,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,e5185b506caccdbd81abc7ebe6bcc244ceeaa03b822633cf993c6b1f9f01f09d,e5185b506caccdbd81abc7ebe6bcc244ceeaa03b822633cf993c6b1f9f01f09d,False,False
emory|svm_l1|low,Emory,SVM-L1,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,False,False
emory|xgboost|reference,Emory,XGBoost,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,ba0703023c26ac3c7472ba39f6b9af681f9fe61f3cd67214e08b7d024a7a317b,ba0703023c26ac3c7472ba39f6b9af681f9fe61f3cd67214e08b7d024a7a317b,False,False
emory|xgboost|reference,Emory,XGBoost,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,False,False
emory|xgboost|low,Emory,XGBoost,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,4e0df25200ef72987c74ba3a162b55aa8a39dd456516ac71a2b7de847f20629b,4e0df25200ef72987c74ba3a162b55aa8a39dd456516ac71a2b7de847f20629b,False,False
emory|xgboost|low,Emory,XGBoost,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,False,False
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,566094e0daac832ff12a2a1b8c39a2b1d27da409fe8274f1db2c7060b0f6d378,566094e0daac832ff12a2a1b8c39a2b1d27da409fe8274f1db2c7060b0f6d378,False,False
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,False,False
mayo|boruta_rf|low,Mayo,Boruta-RF,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,8e7ea7d3509a6a72d832063b0bde8814eddd0f5625b6867544c62d2e32e69b77,8e7ea7d3509a6a72d832063b0bde8814eddd0f5625b6867544c62d2e32e69b77,False,False
mayo|boruta_rf|low,Mayo,Boruta-RF,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,False,False
mayo|svm_l1|reference,Mayo,SVM-L1,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,46fbdccdde525d79d724a81735277f930a589edb8453968f82a24785bc45ccee,46fbdccdde525d79d724a81735277f930a589edb8453968f82a24785bc45ccee,False,False
mayo|svm_l1|reference,Mayo,SVM-L1,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,False,False
mayo|svm_l1|low,Mayo,SVM-L1,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,9390e9d7e24585a7556bf3546cfe077435ce5fe6e35bd51ef607a93eb2be16fd,9390e9d7e24585a7556bf3546cfe077435ce5fe6e35bd51ef607a93eb2be16fd,False,False
mayo|svm_l1|low,Mayo,SVM-L1,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,False,False
mayo|xgboost|reference,Mayo,XGBoost,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,20998e1e980298e07650b5764c806b72933a7360e005e50af085c37fbc2e1546,20998e1e980298e07650b5764c806b72933a7360e005e50af085c37fbc2e1546,False,False
mayo|xgboost|reference,Mayo,XGBoost,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,False,False
mayo|xgboost|low,Mayo,XGBoost,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,da875f9ebe1a1bbab5974e93f820213814b974d2242f4ac0372aa02dd2b1dec8,da875f9ebe1a1bbab5974e93f820213814b974d2242f4ac0372aa02dd2b1dec8,False,False
mayo|xgboost|low,Mayo,XGBoost,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,False,False
mount_sinai|boruta_rf|reference,Mount Sinai,Boruta-RF,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,4bdfcb10a9d5543b240b9bd86f530e0a4fe8dcfa2f19544901f0659a97dd67a4,4bdfcb10a9d5543b240b9bd86f530e0a4fe8dcfa2f19544901f0659a97dd67a4,False,False
mount_sinai|boruta_rf|reference,Mount Sinai,Boruta-RF,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,False,False
mount_sinai|boruta_rf|low,Mount Sinai,Boruta-RF,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,8a505a47a4ff2cc6f77c8e2b72591b391110b218d626620a7041cbdbf34d006e,8a505a47a4ff2cc6f77c8e2b72591b391110b218d626620a7041cbdbf34d006e,False,False
mount_sinai|boruta_rf|low,Mount Sinai,Boruta-RF,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,False,False
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,7d68cd6d7a4f9b88ad5f131998e8aa795e6eb329d9c297339a1484cc40d623a7,7d68cd6d7a4f9b88ad5f131998e8aa795e6eb329d9c297339a1484cc40d623a7,False,False
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,False,False
mount_sinai|svm_l1|low,Mount Sinai,SVM-L1,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,faabb8712413dfa7e8e2fd018686093c522398dd602d9d9fa231ab51af341e8c,faabb8712413dfa7e8e2fd018686093c522398dd602d9d9fa231ab51af341e8c,False,False
