condition,Center,Branch,Cap,pool_size,pool_category,decision_stage,selected_run,selected_feature_count,selected_regret,stable_hash_available,duplicate_multiplicity_available,duplicate_records,status,held_out_inputs_used
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,3,3+,unique_jaccard,1,25,0.0,True,True,0,complete_canonical_mask_audit,False
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,3,3+,higher_score,2,12,0.0,True,True,0,complete_canonical_mask_audit,False
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,4,3+,unique_jaccard,5,19,0.00834728281765218,True,True,0,complete_canonical_mask_audit,False
emory|svm_l1|low,Emory,SVM-L1,Small-cap,3,3+,higher_score,5,11,0.0,True,True,0,complete_canonical_mask_audit,False
emory|xgboost|reference,Emory,XGBoost,Reference-cap,3,3+,unique_jaccard,1,20,0.0,True,True,0,complete_canonical_mask_audit,False
emory|xgboost|low,Emory,XGBoost,Small-cap,3,3+,unique_jaccard,1,20,0.0,True,True,0,complete_canonical_mask_audit,False
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,5,3+,unique_jaccard,5,24,0.0020035105652221885,True,True,0,complete_canonical_mask_audit,False
mayo|boruta_rf|low,Mayo,Boruta-RF,Small-cap,2,2,higher_score,1,13,0.0,True,True,0,complete_canonical_mask_audit,False
mayo|svm_l1|reference,Mayo,SVM-L1,Reference-cap,3,3+,unique_jaccard,3,28,0.0,True,True,0,complete_canonical_mask_audit,False
mayo|svm_l1|low,Mayo,SVM-L1,Small-cap,3,3+,unique_jaccard,3,28,0.0,True,True,0,complete_canonical_mask_audit,False
mayo|xgboost|reference,Mayo,XGBoost,Reference-cap,2,2,higher_score,3,22,0.0,True,True,0,complete_canonical_mask_audit,False
mayo|xgboost|low,Mayo,XGBoost,Small-cap,2,2,higher_score,3,22,0.0,True,True,0,complete_canonical_mask_audit,False
mount_sinai|boruta_rf|reference,Mount Sinai,Boruta-RF,Reference-cap,3,3+,unique_jaccard,3,24,0.005969330777105819,True,True,0,complete_canonical_mask_audit,False
mount_sinai|boruta_rf|low,Mount Sinai,Boruta-RF,Small-cap,3,3+,unique_jaccard,3,24,0.005969330777105819,True,True,0,complete_canonical_mask_audit,False
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,5,3+,unique_jaccard,5,17,0.003702196570253058,True,True,0,complete_canonical_mask_audit,False
mount_sinai|svm_l1|low,Mount Sinai,SVM-L1,Small-cap,3,3+,unique_jaccard,1,12,0.0,True,True,0,complete_canonical_mask_audit,False
mount_sinai|xgboost|reference,Mount Sinai,XGBoost,Reference-cap,2,2,higher_score,4,24,0.0,True,True,0,complete_canonical_mask_audit,False
mount_sinai|xgboost|low,Mount Sinai,XGBoost,Small-cap,2,2,higher_score,4,24,0.0,True,True,0,complete_canonical_mask_audit,False
rush|boruta_rf|reference,Rush,Boruta-RF,Reference-cap,1,1,singleton_direct,2,23,0.0,True,True,0,complete_canonical_mask_audit,False
rush|boruta_rf|low,Rush,Boruta-RF,Small-cap,3,3+,unique_jaccard,1,12,0.0,True,True,0,complete_canonical_mask_audit,False
rush|svm_l1|reference,Rush,SVM-L1,Reference-cap,1,1,singleton_direct,5,26,0.0,True,True,0,complete_canonical_mask_audit,False
rush|svm_l1|low,Rush,SVM-L1,Small-cap,3,3+,unique_jaccard,4,28,0.0,True,True,0,complete_canonical_mask_audit,False
rush|xgboost|reference,Rush,XGBoost,Reference-cap,3,3+,higher_score,3,21,0.0,True,True,0,complete_canonical_mask_audit,False
rush|xgboost|low,Rush,XGBoost,Small-cap,2,2,higher_score,4,21,0.0,True,True,0,complete_canonical_mask_audit,False
