topology,score_noise_ratio,n_scenarios,mean_current_minus_highest,q25,q75,min,max,combined_mcse
aligned,0,9,0.000903113888889,0.000503925,0.00136655,0.000130425,0.002044775,0.00000552128510756
aligned,0.25,9,0.000175969444444,-0.000079,0.000578675,-0.0005553,0.001154775,0.0000066476104557
aligned,0.5,9,-0.000556472222222,-0.00088025,-0.00033265,-0.00119065,0.00007965,0.00000817262266563
aligned,1,9,-0.000650427777778,-0.000756725,-0.0004033,-0.001056575,-0.000308325,0.00000815812782004
aligned,2,9,-0.000282283333333,-0.00038995,-0.00020245,-0.000456225,-0.00013695,0.00000563298383009
aligned,4,9,-0.0000877416666667,-0.0001309,-0.000049325,-0.000155475,-0.00003255,0.0000032368369497
competing,0,9,0.000949097222222,0.000312375,0.001291225,0.000266825,0.002088825,0.00000579435919593
competing,0.25,9,0.000265830555556,-0.000232325,0.000686225,-0.000428525,0.0011734,0.00000678563698451
competing,0.5,9,-0.000443675,-0.000731775,-0.000262175,-0.000861325,0.000099725,0.00000837762153948
competing,1,9,-0.000570869444444,-0.0006619,-0.00034345,-0.000932225,-0.000276875,0.00000860345202931
competing,2,9,-0.000250613888889,-0.00036645,-0.00017575,-0.000435975,-0.000091025,0.00000598675965927
competing,4,9,-0.0000761138888889,-0.000091,-0.00005755,-0.000144425,-0.000019075,0.00000345048735362
misleading,0,9,0.00331056111111,0.002448675,0.00391015,0.00180345,0.005239725,0.00000923747814603
misleading,0.25,9,0.00258760277778,0.0018409,0.003253025,0.001345375,0.004165525,0.0000108427087373
misleading,0.5,9,0.00124187777778,0.000755225,0.001873975,0.000406725,0.002273425,0.0000115315231329
misleading,1,9,0.000209033333333,-0.00004525,0.000538975,-0.0002844,0.00076055,0.0000097456411322
misleading,2,9,-0.0000127611111111,-0.00008065,0.0001067,-0.000230175,0.000139625,0.00000614947928188
misleading,4,9,-0.0000109944444444,-0.000028525,0.000017,-0.000082475,0.00003555,0.00000345039737416
