candidate_count,comparator,n_scenarios,mean_current_minus_comparator,q25,q75,combined_mcse
3,highest_score,27,-0.0000684287037037,-0.0001328,-0.00004505,0.00000292036381144
3,legacy_top3_medoid,27,0.0000735268518519,-0.0001372375,0.0003839625,0.00000515000443817
3,full_bank_medoid,27,0.0000735268518519,-0.0001372375,0.0003839625,0.00000515000443817
5,highest_score,27,0.0000184833333333,-0.0002926,0.0000896875,0.00000417644598575
5,legacy_top3_medoid,27,-0.000138519444444,-0.0004958625,0.000215875,0.00000538062150909
5,full_bank_medoid,27,-0.0000146833333333,-0.0006988625,0.0005782125,0.00000593827879431
10,highest_score,27,-0.0000915842592593,-0.00048685,-0.0000673375,0.00000477305662768
10,legacy_top3_medoid,27,0.0000392601851852,-0.000222575,0.0003026375,0.00000527905365418
10,full_bank_medoid,27,0.000118150925926,-0.000601175,0.0006362125,0.00000583592343473
20,highest_score,27,-0.000203926851852,-0.0006917625,-0.000171925,0.00000503028925094
20,legacy_top3_medoid,27,0.0000453777777778,-0.0002764125,0.00026865,0.00000525933184449
20,full_bank_medoid,27,0.000150088888889,-0.0006427,0.0007607,0.00000567602608603
50,highest_score,27,-0.000335548148148,-0.0008342875,-0.0002423875,0.00000520355219452
50,legacy_top3_medoid,27,2.17592592592e-7,-0.0004353875,0.00015595,0.00000521394104804
50,full_bank_medoid,27,0.000140049074074,-0.0006876375,0.000915525,0.00000551367638548
100,highest_score,27,-0.000450207407407,-0.000859525,-0.0002829,0.00000743405838523
100,legacy_top3_medoid,27,-0.000080087037037,-0.0005118,0.000048525,0.00000731682662285
100,full_bank_medoid,27,0.0000794166666667,-0.00071535,0.001011075,0.00000755818923779
