center,branch,cap,permutations_tested,unique_selected_feature_sets,candidate_audit_identical,pairwise_audit_identical,metadata_identical,passed
emory,boruta_rf,low,120,1,True,True,True,True
emory,boruta_rf,reference,120,1,True,True,True,True
emory,svm_l1,low,120,1,True,True,True,True
emory,svm_l1,reference,120,1,True,True,True,True
emory,xgboost,low,120,1,True,True,True,True
emory,xgboost,reference,120,1,True,True,True,True
mayo,boruta_rf,low,120,1,True,True,True,True
mayo,boruta_rf,reference,120,1,True,True,True,True
mayo,svm_l1,low,120,1,True,True,True,True
mayo,svm_l1,reference,120,1,True,True,True,True
mayo,xgboost,low,120,1,True,True,True,True
mayo,xgboost,reference,120,1,True,True,True,True
mount_sinai,boruta_rf,low,120,1,True,True,True,True
mount_sinai,boruta_rf,reference,120,1,True,True,True,True
mount_sinai,svm_l1,low,120,1,True,True,True,True
mount_sinai,svm_l1,reference,120,1,True,True,True,True
mount_sinai,xgboost,low,120,1,True,True,True,True
mount_sinai,xgboost,reference,120,1,True,True,True,True
