condition,Center,Branch,Cap,target,original_count,updated_count,original_target_deviation,updated_target_deviation,original_all_zero_generations,updated_all_zero_generations,original_lock_score,updated_lock_score,score_difference,updated_pool_size,updated_regret,updated_mean_jaccard,target_deviation_improvement,all_zero_improvement,stress_condition
emory|boruta_rf|reference,Emory,Boruta-RF,Reference-cap,25,25,25,0,0,0,0,0.8584641872733197,0.8628716536421569,0.0044074663688371,3,0.0,0.3006756756756756,0,0,False
emory|boruta_rf|low,Emory,Boruta-RF,Small-cap,12,16,12,4,0,0,0,0.8447479419565547,0.8488077350567101,0.0040597931001554,3,0.0,0.194078947368421,4,0,False
emory|svm_l1|reference,Emory,SVM-L1,Reference-cap,19,19,19,0,0,0,0,0.8629304181159428,0.8608860826345524,-0.0020443354813904,4,0.0083472828176521,0.3113847837985768,0,0,False
emory|svm_l1|low,Emory,SVM-L1,Small-cap,10,12,11,2,1,0,0,0.8632976375438399,0.8501105171180928,-0.0131871204257471,3,0.0,0.1720588235294117,1,0,False
emory|xgboost|reference,Emory,XGBoost,Reference-cap,17,20,20,3,3,23,15,0.8206914964893934,0.8234597012852847,0.0027682047958912,3,0.0,0.1475694444444444,0,8,False
emory|xgboost|low,Emory,XGBoost,Small-cap,9,22,20,13,11,55,29,0.8193700973799736,0.8234597012852847,0.0040896039053111,3,0.0,0.1319444444444444,2,26,False
mayo|boruta_rf|reference,Mayo,Boruta-RF,Reference-cap,24,24,24,0,0,0,0,0.8824375665218811,0.8766628884968876,-0.0057746780249935,5,0.0020035105652221,0.2406530122993537,0,0,False
mayo|boruta_rf|low,Mayo,Boruta-RF,Small-cap,13,22,13,9,0,5,5,0.8705392680863664,0.869409091515904,-0.0011301765704624,2,0.0,0.1153846153846153,9,0,False
mayo|svm_l1|reference,Mayo,SVM-L1,Reference-cap,20,23,28,3,8,24,19,0.8800283298259538,0.8803010945693872,0.0002727647434334,3,0.0,0.1684397163120567,-5,5,False
mayo|svm_l1|low,Mayo,SVM-L1,Small-cap,10,26,28,16,18,55,37,0.8803417953413748,0.8803010945693872,-4.070077198758959e-05,3,0.0,0.1684397163120567,-2,18,False
mayo|xgboost|reference,Mayo,XGBoost,Reference-cap,20,20,22,0,2,11,9,0.8268715220509796,0.8507659468953624,0.0238944248443828,2,0.0,0.1794871794871795,-2,2,False
mayo|xgboost|low,Mayo,XGBoost,Small-cap,10,22,22,12,12,37,21,0.8620790509019063,0.8507659468953624,-0.0113131040065438,2,0.0,0.1794871794871795,0,16,False
mount_sinai|boruta_rf|reference,Mount Sinai,Boruta-RF,Reference-cap,22,29,24,7,2,25,15,0.8821187782585487,0.8803842122311307,-0.0017345660274179,3,0.0059693307771058,0.1785714285714285,5,10,False
mount_sinai|boruta_rf|low,Mount Sinai,Boruta-RF,Small-cap,13,32,24,19,11,39,29,0.8855579077607757,0.8803842122311307,-0.0051736955296449,3,0.0059693307771058,0.1785714285714285,8,10,False
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,17,19,17,2,0,0,0,0.886180676661412,0.8920246270544959,0.0058439503930839,5,0.003702196570253,0.2732010582010582,2,0,False
mount_sinai|svm_l1|low,Mount Sinai,SVM-L1,Small-cap,10,13,12,3,2,0,0,0.876047227222154,0.8796456339837061,0.003598406761552,3,0.0,0.3125,1,0,False
mount_sinai|xgboost|reference,Mount Sinai,XGBoost,Reference-cap,19,22,24,3,5,6,5,0.8614270087849387,0.8722208719829501,0.0107938631980113,2,0.0,0.125,-2,1,False
mount_sinai|xgboost|low,Mount Sinai,XGBoost,Small-cap,10,20,24,10,14,31,16,0.8613106698269872,0.8722208719829501,0.0109102021559628,2,0.0,0.125,-4,15,False
rush|boruta_rf|reference,Rush,Boruta-RF,Reference-cap,23,23,23,0,0,0,0,0.875551556004065,0.8855917984108588,0.0100402424067937,1,0.0,,0,0,False
rush|boruta_rf|low,Rush,Boruta-RF,Small-cap,12,13,12,1,0,0,0,0.8765536218536731,0.8782082054411804,0.0016545835875072,3,0.0,0.2982456140350877,1,0,False
rush|svm_l1|reference,Rush,SVM-L1,Reference-cap,18,30,26,12,8,45,28,0.8826732633157365,0.8734863798113286,-0.0091868835044078,1,0.0,,4,17,False
rush|svm_l1|low,Rush,SVM-L1,Small-cap,3,84,28,81,25,245,66,0.8701235335751465,0.8601596906914368,-0.0099638428837096,3,0.0,0.1561264822134387,56,179,True
rush|xgboost|reference,Rush,XGBoost,Reference-cap,20,20,21,0,1,13,9,0.8594687647506388,0.8630762617178387,0.0036074969671998,3,0.0,0.1675675675675675,-1,4,False
rush|xgboost|low,Rush,XGBoost,Small-cap,7,23,21,16,14,59,30,0.8651676871136675,0.8621799620369769,-0.0029877250766906,2,0.0,0.0833333333333333,2,29,False
