view,branch,feature,selected_seed_count,selection_frequency,in_locked_signature
full_1781,svm_l1,t1ce__tumorcore__wavelet-LHH__firstorder__Mean,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-HHH__firstorder__Skewness,2,0.4,False
full_1781,svm_l1,t1ce__tumorcore__gradient__glszm__SmallAreaLowGrayLevelEmphasis,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__log-sigma-5-0-mm-3D__glszm__LargeAreaLowGrayLevelEmphasis,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__gradient__glcm__Correlation,3,0.6,False
full_1781,svm_l1,t1ce__tumorcore__gradient__glszm__LowGrayLevelZoneEmphasis,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-HLH__glcm__Correlation,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-LLH__gldm__DependenceNonUniformityNormalized,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__original__gldm__DependenceVariance,2,0.4,False
full_1781,svm_l1,t1ce__tumorcore__original__shape__Maximum2DDiameterSlice,2,0.4,False
full_1781,svm_l1,t1ce__tumorcore__log-sigma-5-0-mm-3D__glszm__SizeZoneNonUniformity,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-HHH__glszm__SmallAreaEmphasis,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-LHL__firstorder__Maximum,3,0.6,True
full_1781,svm_l1,t1ce__tumorcore__wavelet-HLL__firstorder__Mean,2,0.4,False
full_1781,svm_l1,t1ce__tumorcore__square__glszm__LowGrayLevelZoneEmphasis,1,0.2,True
full_1781,svm_l1,t1ce__tumorcore__wavelet-HHL__glcm__InverseVariance,2,0.4,True
full_1781,svm_l1,t1ce__tumorcore__wavelet-LLL__ngtdm__Strength,2,0.4,False
full_1781,svm_l1,t1ce__tumorcore__wavelet-HHL__firstorder__Maximum,2,0.4,True
full_1781,svm_l1,t1ce__tumorcore__wavelet-HLH__glcm__ClusterProminence,1,0.2,False
full_1781,svm_l1,t1ce__tumorcore__logarithm__glcm__InverseVariance,1,0.2,False
