view,branch,seed,actual_backend,completed_generations,candidate_feature_count,rfecv_target_k,selected_feature_count,target_deviation,development_cv_base_score,raw_objective,legacy_truncated_fitness_diagnostic,stable_mask_hash,held_out_used,artifact_checksums_valid
full_1781,boruta_rf,42,gpu,50,10,10,10,0,0.7548852495543672,0.7548852495543672,0.7548852495543672,ffadf8d89d37b3b55fe1847b513cf92e3be87e4c168708c7851845df96fb36be,False,True
full_1781,boruta_rf,43,gpu,50,10,10,10,0,0.8219780525846703,0.8219780525846703,0.8219780525846703,ffadf8d89d37b3b55fe1847b513cf92e3be87e4c168708c7851845df96fb36be,False,True
full_1781,boruta_rf,44,gpu,50,10,10,10,0,0.7777963458110516,0.7777963458110516,0.7777963458110516,ffadf8d89d37b3b55fe1847b513cf92e3be87e4c168708c7851845df96fb36be,False,True
full_1781,boruta_rf,45,gpu,50,10,10,9,1,0.8055982620320856,0.7905982620320856,0.7905982620320856,7e37d048f1dd26a699122d23530f35c615f5beb91fc586ef3cbabb79a66e4da4,False,True
full_1781,boruta_rf,46,gpu,50,10,10,9,1,0.7822916666666666,0.7672916666666666,0.7672916666666666,fe48054e805063b9f5b3f260a9af0125339cf0efbec37f71172b5c81bc0553e4,False,True
full_1781,svm_l1,42,gpu,50,214,8,62,54,0.6198696524064171,-0.19013034759358283,0.0,2fdbdf47fa9c6c4f4659835226a372a7aad56d0b7cd3c839a3bf6ebd53e03b9e,False,True
full_1781,svm_l1,43,gpu,50,214,8,50,42,0.6184157754010695,-0.011584224598930493,0.0,39fe096360feb8fd44cd24a90442c468351d8bb3ac8e41ca9f9d87b42492db6d,False,True
full_1781,svm_l1,44,gpu,50,214,8,60,52,0.5453097147950089,-0.23469028520499113,0.0,aca5a70f8540ff57181953593c5c650aefd98fdc442e3dc9b376ef825e31e572,False,True
full_1781,svm_l1,45,gpu,50,214,8,59,51,0.6085895721925134,-0.1564104278074866,0.0,42559e15d1e193f76489b55ab160a8b4d4eaf017e3b1bccfad28899d2b1b4a58,False,True
full_1781,svm_l1,46,gpu,50,214,8,55,47,0.6849766042780748,-0.02002339572192513,0.0,5a202566d4ce8a19c5d625c6ce1c137807b4e623f81b760aa2a02bbb1a2741b3,False,True
full_1781,xgboost,42,gpu,50,100,16,24,8,0.744226270053476,0.624226270053476,0.624226270053476,ee993a41e4635e5dd749206746980718789d68403d31216a03c9b129403a9a3e,False,True
full_1781,xgboost,43,gpu,50,100,16,17,1,0.7324587789661319,0.7174587789661319,0.7174587789661319,e8df4068fd5f9894197da58470d206f53e5c2f4d77647149ac34d6647b9cddd4,False,True
full_1781,xgboost,44,gpu,50,100,16,22,6,0.7266014928698752,0.6366014928698752,0.6366014928698752,9554c3e33fa16fde15617cf7d8904067ad6b9d930d89cbd2875468b2ef67dc0b,False,True
full_1781,xgboost,45,gpu,50,100,16,20,4,0.7255514705882353,0.6655514705882353,0.6655514705882353,0f23ff5f1d7078dbcae90892d2f20b2964a4ab647f70986eb99aca5666509e15,False,True
full_1781,xgboost,46,gpu,50,100,16,20,4,0.7267379679144385,0.6667379679144385,0.6667379679144385,aa19b3af32b15b73aaab717389848e446a299eb6c301c337ea634f0b944a426b,False,True
stable_1346,boruta_rf,42,gpu,50,6,6,6,0,0.7173741087344029,0.7173741087344029,0.7173741087344029,dfea2964b5deedea7b1ef077de529c3959e6788bdbb3441e70c77a1ae875bb48,False,True
stable_1346,boruta_rf,43,gpu,50,6,6,6,0,0.7372326203208556,0.7372326203208556,0.7372326203208556,dfea2964b5deedea7b1ef077de529c3959e6788bdbb3441e70c77a1ae875bb48,False,True
stable_1346,boruta_rf,44,gpu,50,6,6,5,1,0.7505793226381462,0.7355793226381462,0.7355793226381462,52217da89de802703cfc92d35e40ecdd5be45a1af977ef5d4be33892562749a1,False,True
stable_1346,boruta_rf,45,gpu,50,6,6,5,1,0.7309881907308379,0.7159881907308379,0.7159881907308379,52217da89de802703cfc92d35e40ecdd5be45a1af977ef5d4be33892562749a1,False,True
stable_1346,boruta_rf,46,gpu,50,6,6,4,2,0.7267658199643494,0.6967658199643494,0.6967658199643494,691e02a09744f1284347b4acfb5f179ad2f629b96936e7dc4b57d08da0d6d716,False,True
stable_1346,svm_l1,42,gpu,50,201,3,51,48,0.5780915775401068,-0.1419084224598932,0.0,b43d237f2dff63c9f08b6e2d6068c0f13c172aa53fc53c1d938fd828baa73d3b,False,True
stable_1346,svm_l1,43,gpu,50,201,3,50,47,0.6312332887700534,-0.0737667112299466,0.0,39d8295419d32d89a1d2486f60f8c0954df445c513180e92382d0e831b12e790,False,True
stable_1346,svm_l1,44,gpu,50,201,3,52,49,0.5354138814616756,-0.19958611853832442,0.0,4100459b201868c68555d902e2fbc1dd5d3120bcb8f158a792cdc091125d04cd,False,True
stable_1346,svm_l1,45,gpu,50,201,3,46,43,0.5617814171122995,-0.08321858288770057,0.0,140e8e1cbb1d579474b221d9181f9d6e7fa0e30da0ac7d0314008faa92bfc5f0,False,True
stable_1346,svm_l1,46,gpu,50,201,3,52,49,0.5977495543672013,-0.13725044563279865,0.0,00a76ac730d5eb22153c777d2a84ff3ff4004407979e29dfc177f605f3a303c9,False,True
