center,branch,cap,bundle_selected_run_id,bundle_selected_stable_mask_hash,authoritative_selected_run_id,authoritative_selected_stable_mask_hash,same_source_run,same_scientific_feature_set
emory,boruta_rf,low,2,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,2,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,True,True
emory,boruta_rf,reference,1,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,1,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,True,True
emory,svm_l1,low,5,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,5,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,True,True
emory,svm_l1,reference,5,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,5,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,True,True
emory,xgboost,low,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,True,True
emory,xgboost,reference,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,True,True
mayo,boruta_rf,low,1,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,1,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,True,True
mayo,boruta_rf,reference,5,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,5,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,True,True
mayo,svm_l1,low,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,True,True
mayo,svm_l1,reference,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,True,True
mayo,xgboost,low,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,True,True
mayo,xgboost,reference,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,True,True
mount_sinai,boruta_rf,low,3,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,3,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,True,True
mount_sinai,boruta_rf,reference,3,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,3,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,True,True
mount_sinai,svm_l1,low,1,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,1,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,True,True
mount_sinai,svm_l1,reference,3,dbcb09b4b0075258fcba1323283ebc3ffb5ed519ac3318c9f9db86bf6e321b4b,5,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,False,False
mount_sinai,xgboost,low,4,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,4,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,True,True
mount_sinai,xgboost,reference,4,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,4,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,True,True
