center,branch,cap,run_id,feature_count,canonical_features,canonical_mask,stable_mask_hash,candidate_universe_sha256,duplicate_mask_multiplicity,locking_score,fold_locking_scores,score_sd,score_se,absolute_regret,relative_regret,eligible,eligibility_reason,fallback_added,pairwise_jaccard,mean_jaccard,selected,selected_feature_set,tie_break_path,strategy,tolerance_mode,regret_tolerance,eligibility_threshold,minimum_pool_size,locking_metric,seeds,software_version,configuration_hash
emory,boruta_rf,low,5,12,"[""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__APOE|P02649"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__CLU|P10909"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__PLCB1|Q9NQ66"", ""PROT_FRONTAL__PLEC|Q15149"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TKT|P29401"", ""METAB__1053"", ""METAB__100002173""]",00001101000000010010000000000000000000010100100000100100000100001000,5185a795c15afda9469cb2f42c0d84cebefa1b633b30b97f622e02d08f599c3c,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8319664258007438,"[0.8264675116602858, 0.7997020412645743, 0.8229607865526415, 0.8678459608261236, 0.8428558287000935]",0.02528957410490895,0.01130984136411896,0.016841309255966386,0.019841135466138502,False,absolute_regret_exceeds_tolerance,False,{},,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 46}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,low,2,12,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__C4B|P0C0L5"", ""PROT_FRONTAL__GMPR|P36959"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__SQSTM1|Q13501"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__100002254""]",00100001000010000000001000000001100000000000100010110010000000000100,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8488077350567101,"[0.8330339529826567, 0.8439366490799092, 0.8264527174992446, 0.8688417211119672, 0.8717736346097725]",0.020622073301751778,0.0092224715479401,0.0,0.0,True,absolute_regret_within_tolerance,False,"{""1"": 0.2631578947368421, ""3"": 0.125}",0.19407894736842105,True,True,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 43}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,low,4,13,"[""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__PHYHD1|Q5SRE7"", ""PROT_FRONTAL__PPP2R5B|Q15173"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__572"", ""METAB__100002254""]",00001001100000000011000000000001000000100010000110000010001000000100,817fe18c60a415f6499f447d91bfed9961292a4292ae640ff256baf74fee007b,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8263764790625789,"[0.8177731241316991, 0.8078261590926928, 0.817264613433514, 0.8490583130248427, 0.8399601856301454]",0.017321524603072864,0.007746421297281197,0.022431255994131205,0.026426780845290647,False,absolute_regret_exceeds_tolerance,False,{},,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 45}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,low,3,15,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__ALDH1L1|O75891"", ""PROT_FRONTAL__APOE|P02649"", ""PROT_FRONTAL__BAG3|O95817"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__GRIA3|P42263"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__NTN1|O95631"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__SFRP1|Q8N474"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__VGF|O15240"", ""METAB__533"", ""METAB__100001271"", ""METAB__100002784""]",00110100010000000000010010000000100010000000000101100001010001000010,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8446102294414741,"[0.8564517016997626, 0.8551904085023211, 0.8205765255412562, 0.8395609586815213, 0.8512715527825095]",0.014997065889932359,0.006706891758586427,0.004197505615236019,0.0049451783270513874,True,absolute_regret_within_tolerance,False,"{""1"": 0.125, ""2"": 0.125}",0.125,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 44}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,low,1,12,"[""PROT_FRONTAL__ACTN4|O43707"", ""PROT_FRONTAL__APOE4|APOE4"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__GRIA3|P42263"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__PRDX6|P30041"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__VGF|O15240"", ""METAB__100002254""]",01000010000000000010000010010001000000000001000010100011000000000100,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8453698014951302,"[0.8441867331024611, 0.8482925714798467, 0.8152022072261782, 0.8681493401330926, 0.851018155534072]",0.019175748115060932,0.008575655260937941,0.0034379335615799533,0.004050308944640166,True,absolute_regret_within_tolerance,False,"{""2"": 0.2631578947368421, ""3"": 0.125}",0.19407894736842105,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 42}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,reference,3,25,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APOE|P02649"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__BDH2|Q9BUT1"", ""PROT_FRONTAL__CLU|P10909"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__HTRA1|Q92743"", ""PROT_FRONTAL__ICAM1|P05362"", ""PROT_FRONTAL__MAOB|P27338"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SFRP1|Q8N474"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TKT|P29401"", ""PROT_FRONTAL__VGF|O15240"", ""METAB__533"", ""METAB__572"", ""METAB__1053"", ""METAB__100000282"", ""METAB__100001271""]",00100101101000010000010000001111100000000000110111100101011111000000,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8602997364541821,"[0.8663500454472732, 0.8475498950054628, 0.8400631800540971, 0.8719159182122574, 0.8756196435518196]",0.015639038836594694,0.006993990788276992,0.0025719171879747815,0.0029806486018155672,True,absolute_regret_within_tolerance,False,"{""1"": 0.25, ""4"": 0.21951219512195122}",0.2347560975609756,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 44}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,reference,4,25,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__CLU|P10909"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__GPNMB|Q14956"", ""PROT_FRONTAL__HPCA|P84074"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__MRPS18B|Q9Y676"", ""PROT_FRONTAL__NEFH|P12036"", ""PROT_FRONTAL__PBXIP1|Q96AQ6"", ""PROT_FRONTAL__PHYHD1|Q5SRE7"", ""PROT_FRONTAL__PLCB1|Q9NQ66"", ""PROT_FRONTAL__PPP2R5B|Q15173"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__533"", ""METAB__100001383"", ""METAB__100002173"", ""METAB__100002254"", ""METAB__100002784""]",00100001000000010011000100110000010101110010110110100010010000101110,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8552937636728943,"[0.8334288584985061, 0.8519944557483526, 0.8365780419660647, 0.8702304967865467, 0.8842369653650017]",0.02179479680091051,0.009746929440526169,0.007577889969262563,0.008782175121035097,True,absolute_regret_within_tolerance,False,"{""1"": 0.35135135135135137, ""3"": 0.21951219512195122}",0.2854317732366513,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 45}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,reference,1,25,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__ALDH1L1|O75891"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__APOE4|APOE4"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__CAPG|P40121"", ""PROT_FRONTAL__CLU|P10909"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__GPNMB|Q14956"", ""PROT_FRONTAL__HDGFL3|Q9Y3E1"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PPP2R5B|Q15173"", ""PROT_FRONTAL__PRDX6|P30041"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__RPH3A|Q9Y2J0"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SQSTM1|Q13501"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__533"", ""METAB__1053"", ""METAB__100001383"", ""METAB__100001851"", ""METAB__100002173""]",00111011100001010010000101000000100000000011101110010010010100111000,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8628716536421569,"[0.8669108709896699, 0.8480271357891765, 0.854584419382031, 0.8745384549114847, 0.8702973871384222]",0.0111423629514306,0.0049830161978748014,0.0,0.0,True,absolute_regret_within_tolerance,False,"{""3"": 0.25, ""4"": 0.35135135135135137}",0.30067567567567566,True,True,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 42}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,reference,2,25,"[""PROT_FRONTAL__ACTN4|O43707"", ""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__APOE4|APOE4"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__GMPR|P36959"", ""PROT_FRONTAL__GRIA3|P42263"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__MRPS18B|Q9Y676"", ""PROT_FRONTAL__PLCB1|Q9NQ66"", ""PROT_FRONTAL__PLEC|Q15149"", ""PROT_FRONTAL__PRDX6|P30041"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SFRP1|Q8N474"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__SYNM|O15061"", ""PROT_FRONTAL__VIM|P08670"", ""METAB__533"", ""METAB__100001271"", ""METAB__100001851"", ""METAB__100002173"", ""METAB__100002254"", ""METAB__100021330""]",01101010100000000000001010000001110000010101010011101000110001011101,a7d46bdf69cabb5c998f15570788ae5550c75bb0d4f272a93a316b1348892649,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8528313755887824,"[0.8551406890036485, 0.8490362136686423, 0.8235640759566664, 0.8585551093833529, 0.877860789931602]",0.019593007177944075,0.008762259186704854,0.010040278053374485,0.011635888154390928,False,absolute_regret_exceeds_tolerance,False,{},,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 43}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
emory,boruta_rf,reference,5,25,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__C4B|P0C0L5"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__GPNMB|Q14956"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__NCALD|P61601"", ""PROT_FRONTAL__NTN1|O95631"", ""PROT_FRONTAL__PBXIP1|Q96AQ6"", ""PROT_FRONTAL__PLCB1|Q9NQ66"", ""PROT_FRONTAL__PLEC|Q15149"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SYNM|O15061"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__VIM|P08670"", ""METAB__572"", ""METAB__100001383"", ""METAB__100001851"", ""METAB__100002173""]",00101000100010000011010100010000101011010100100110001010101000111000,b29ff0139c3b078008a23a323abc6b240fe4b0f6584f1cae343e1b1037d227da,59dd6718a873770e8ce3926110175708383b1b4991af89f9703f9c71c8689da9,1,0.8505304701381249,"[0.8414443515970134, 0.8451816833173652, 0.8441587023095503, 0.8739080398980166, 0.8479595735686787]",0.013274851909792764,0.005936694252307905,0.012341183504032016,0.014302455587618655,False,absolute_regret_exceeds_tolerance,False,{},,False,False,mean_jaccard > higher_locking_score > smaller_feature_count > stable_mask_hash,regret_constrained_medoid,absolute,0.01,0.01,1,macro_ovr_auroc,"{""cv_random_state"": 42, ""run_model_seed_rule"": ""42 + run_id_one_based"", ""run_seed"": 46}",0.2.0,3d358dd33abc93192d5cd75320a3772b0c29729cfb8202df576c2876d1200ec9
