center,branch,cap,legacy_absolute_target_deviation,recommended_absolute_target_deviation,legacy_zero_run_best_count,recommended_zero_run_best_count,legacy_all_zero_generations,recommended_all_zero_generations,recommended_actual_uniform_fallbacks,legacy_locking_score,recommended_locking_score,locking_score_difference_recommended_minus_legacy,recommended_runtime_seconds,locking_rule_status
emory,boruta_rf,low,4,0,0,0,0,0,0,0.8447479419565547,0.8488077350567101,0.004059793100155473,7983.915401771999,current authoritative stable-mask-hash rule applied
emory,boruta_rf,reference,0,0,0,0,0,0,0,0.8584641872733197,0.8628716536421569,0.004407466368837154,7882.855364793,current authoritative stable-mask-hash rule applied
emory,svm_l1,low,2,1,0,0,0,0,0,0.8632976375438399,0.8501105171180928,-0.0131871204257471,7915.49062829,current authoritative stable-mask-hash rule applied
emory,svm_l1,reference,0,0,0,0,0,0,0,0.8629304181159428,0.8608860826345524,-0.0020443354813904913,7793.334186317002,current authoritative stable-mask-hash rule applied
emory,xgboost,low,13,11,0,0,55,29,0,0.8193700973799736,0.8234597012852847,0.004089603905311101,7988.684787062003,current authoritative stable-mask-hash rule applied
emory,xgboost,reference,3,3,0,0,23,15,0,0.8206914964893934,0.8234597012852847,0.002768204795891238,8226.77457301,current authoritative stable-mask-hash rule applied
mayo,boruta_rf,low,9,0,0,0,5,5,0,0.8705392680863664,0.869409091515904,-0.0011301765704624378,8085.863814426997,current authoritative stable-mask-hash rule applied
mayo,boruta_rf,reference,0,0,0,0,0,0,0,0.8824375665218811,0.8766628884968876,-0.00577467802499354,7809.840346878998,current authoritative stable-mask-hash rule applied
mayo,svm_l1,low,16,18,0,0,55,37,0,0.8803417953413748,0.8803010945693872,-4.070077198758959e-05,7609.837302248001,current authoritative stable-mask-hash rule applied
mayo,svm_l1,reference,3,8,0,0,24,19,0,0.8800283298259538,0.8803010945693872,0.00027276474343340684,7506.279966713,current authoritative stable-mask-hash rule applied
mayo,xgboost,low,12,12,0,0,37,21,0,0.8620790509019063,0.8507659468953624,-0.01131310400654384,7579.713996228002,current authoritative stable-mask-hash rule applied
mayo,xgboost,reference,0,2,0,0,11,9,0,0.8268715220509796,0.8507659468953624,0.023894424844382867,8190.300494035003,current authoritative stable-mask-hash rule applied
mount_sinai,boruta_rf,low,19,11,0,0,39,29,0,0.8855579077607757,0.8803842122311307,-0.005173695529644973,7660.1879494059995,current authoritative stable-mask-hash rule applied
mount_sinai,boruta_rf,reference,7,2,0,0,25,15,0,0.8821187782585487,0.8803842122311307,-0.0017345660274179497,7641.571518676001,current authoritative stable-mask-hash rule applied
mount_sinai,svm_l1,low,3,2,0,0,0,0,0,0.876047227222154,0.8796456339837061,0.0035984067615520976,7740.187230482,current authoritative stable-mask-hash rule applied
mount_sinai,svm_l1,reference,2,0,0,0,0,0,0,0.886180676661412,0.8920246270544959,0.005843950393083941,7603.3008761839965,current authoritative stable-mask-hash rule applied
mount_sinai,xgboost,low,10,14,0,0,31,16,0,0.8613106698269872,0.8722208719829501,0.010910202155962834,7877.670003105001,current authoritative stable-mask-hash rule applied
mount_sinai,xgboost,reference,3,5,0,0,6,5,0,0.8614270087849387,0.8722208719829501,0.010793863198011344,7904.1756348459985,current authoritative stable-mask-hash rule applied
rush,svm_l1,low,81,25,4,0,245,66,0,0.8701235335751465,0.8601596906914368,-0.0099638428837096,7595.982285927999,selection unaffected by final tie-break; archived report label is obsolete
rush,svm_l1,reference,12,8,0,0,45,28,0,0.8826732633157365,0.8734863798113286,-0.0091868835044078,7639.483679471,selection unaffected by final tie-break; archived report label is obsolete
rush,xgboost,low,16,14,0,0,59,30,0,0.8651676871136675,0.8621799620369769,-0.0029877250766906,7566.896916160011,selection unaffected by final tie-break; archived report label is obsolete
rush,xgboost,reference,0,1,0,0,13,9,0,0.8594687647506388,0.8630762617178387,0.0036074969671998,7714.4243706989955,selection unaffected by final tie-break; archived report label is obsolete
rush,boruta_rf,low,1,0,0,0,0,0,0,0.8765536218536731,0.8782082054411804,0.0016545835875072,7574.430069301999,selection unaffected by final tie-break; archived report label is obsolete
rush,boruta_rf,reference,0,0,0,0,0,0,0,0.875551556004065,0.8855917984108588,0.0100402424067937,7290.679342975999,selection unaffected by final tie-break; archived report label is obsolete
