center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
emory,boruta_rf,low,1,42,12,12,0,0.6533893973065367,0.6533893973065367,0.6533893973065367,False,0,0,49.94,49,50,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,1593.8362430469997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,low,2,43,12,12,0,0.6748815149158848,0.6748815149158848,0.6748815149158848,False,0,0,49.96,49,50,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,1572.178270417,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,low,3,44,12,15,3,0.6714194437926269,0.6264194437926268,0.6264194437926268,False,0,0,49.96,49,50,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,1598.2073041419994,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,low,4,45,12,13,1,0.6630190269361662,0.6480190269361662,0.6480190269361662,False,0,0,49.88,48,50,817fe18c60a415f6499f447d91bfed9961292a4292ae640ff256baf74fee007b,1609.764575333,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,low,5,46,12,12,0,0.6693453221742177,0.6693453221742177,0.6693453221742177,False,0,0,49.94,49,50,5185a795c15afda9469cb2f42c0d84cebefa1b633b30b97f622e02d08f599c3c,1609.929008833,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,reference,1,42,25,25,0,0.6829366908836038,0.6829366908836038,0.6829366908836038,False,0,0,49.96,49,50,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,1603.3751911079999,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,reference,2,43,25,25,0,0.671292607776106,0.671292607776106,0.671292607776106,False,0,0,49.98,49,50,a7d46bdf69cabb5c998f15570788ae5550c75bb0d4f272a93a316b1348892649,1577.6774758869997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,reference,3,44,25,25,0,0.6770005199203095,0.6770005199203095,0.6770005199203095,False,0,0,49.94,49,50,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,1578.1913988860006,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,reference,4,45,25,25,0,0.6913333885461096,0.6913333885461096,0.6913333885461096,False,0,0,49.9,49,50,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,1571.8084777820004,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,boruta_rf,reference,5,46,25,25,0,0.6828316409083729,0.6828316409083729,0.6828316409083729,False,0,0,49.96,49,50,b29ff0139c3b078008a23a323abc6b240fe4b0f6584f1cae343e1b1037d227da,1551.8028211299993,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
