outer_repeat,outer_fold,branch,eligible_pool_size,selected_run_id,highest_run_id,selected_regret,selected_feature_count,highest_feature_count,selected_differs_highest,highest_mean_jaccard,selected_mean_jaccard,representativeness_gain,selected_highest_jaccard
1,1,svm_l1,4,1,2,0.0024794370170235,15,15,True,0.1142857142857142,0.1571428571428571,0.04285714285714291,0.2
1,1,xgboost,1,3,3,0.0,20,20,False,,,,1.0
1,1,boruta_rf,2,0,0,0.0,18,18,False,0.1,0.1,0.0,1.0
1,2,svm_l1,4,2,2,0.0,15,15,False,0.1549857549857549,0.1549857549857549,0.0,1.0
1,2,xgboost,2,1,1,0.0,20,20,False,0.3333333333333333,0.3333333333333333,0.0,1.0
1,2,boruta_rf,2,4,4,0.0,18,18,False,0.2333333333333333,0.2333333333333333,0.0,1.0
1,3,svm_l1,3,3,3,0.0,15,15,False,0.1111111111111111,0.1111111111111111,0.0,1.0
1,3,xgboost,3,0,0,0.0,20,20,False,0.1764705882352941,0.1764705882352941,0.0,1.0
1,3,boruta_rf,3,3,4,0.0013587192539598,21,17,True,0.1080156402737047,0.1198752228163992,0.011859582542694508,0.15151515151515152
1,4,svm_l1,1,1,1,0.0,16,16,False,,,,1.0
1,4,xgboost,3,0,0,0.0,20,20,False,0.1269841269841269,0.1269841269841269,0.0,1.0
1,4,boruta_rf,3,2,3,4.761116567131296e-05,17,14,True,0.067816091954023,0.0989988876529477,0.03118279569892471,0.06896551724137931
1,5,svm_l1,4,3,0,0.0085640672110802,12,16,True,0.0868253968253968,0.1737285902503293,0.0869031934249325,0.12
1,5,xgboost,3,1,1,0.0,19,19,False,0.1042780748663101,0.1042780748663101,0.0,1.0
1,5,boruta_rf,4,2,2,0.0,20,20,False,0.133252010481612,0.133252010481612,0.0,1.0
2,1,svm_l1,4,2,3,0.0097844729101124,14,14,True,0.2189284145805884,0.2777777777777777,0.05884936319718928,0.16666666666666666
2,1,xgboost,5,2,1,0.0092233093740476,20,20,True,0.110548048048048,0.1110066833751044,0.00045863532705639476,0.1111111111111111
2,1,boruta_rf,2,4,4,0.0,18,18,False,0.1515151515151515,0.1515151515151515,0.0,1.0
2,2,svm_l1,3,0,0,0.0,15,15,False,0.1111111111111111,0.1111111111111111,0.0,1.0
2,2,xgboost,3,0,2,0.0022448578428478,20,19,True,0.0694444444444444,0.1510416666666666,0.0815972222222222,0.08333333333333333
2,2,boruta_rf,1,0,0,0.0,17,17,False,,,,1.0
2,3,svm_l1,1,3,3,0.0,16,16,False,,,,1.0
2,3,xgboost,4,2,4,0.0044704125483285,20,20,True,0.112781954887218,0.1434796140678493,0.03069765918063129,0.14285714285714285
2,3,boruta_rf,3,0,1,0.0010025757256242,12,20,True,0.0619047619047619,0.1133333333333333,0.0514285714285714,0.06666666666666667
2,4,svm_l1,4,2,1,0.0060952199983056,15,15,True,0.1275132275132275,0.1738095238095237,0.0462962962962962,0.2
2,4,xgboost,2,0,0,0.0,21,21,False,0.1428571428571428,0.1428571428571428,0.0,1.0
2,4,boruta_rf,1,2,2,0.0,19,19,False,,,,1.0
2,5,svm_l1,4,3,0,0.0030224530079951,13,13,True,0.1327838827838827,0.1523168189834856,0.01953293619960289,0.23809523809523808
2,5,xgboost,3,2,2,0.0,20,20,False,0.1096096096096096,0.1096096096096096,0.0,1.0
2,5,boruta_rf,1,0,0,0.0,20,20,False,,,,1.0
