branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
svm_l1,regret_constrained_medoid,direct,macro_ovr_auroc,-0.0132066910079036,-0.0241714765409506,-0.0031421524554575,2000
svm_l1,regret_constrained_medoid,direct,macro_auprc,-0.0243478234968634,-0.0423937863388348,-0.0063713174303995,2000
svm_l1,regret_constrained_medoid,direct,balanced_accuracy,-0.0231579156199889,-0.0428845822319273,-0.0045022363329886,2000
svm_l1,regret_constrained_medoid,direct,accuracy,-0.0285132382892057,-0.0498981670061098,-0.0071283095723014,2000
svm_l1,regret_constrained_medoid,direct,macro_f1,-0.0193017204201486,-0.0400842142226258,0.0008912402319386,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_ovr_auroc,-0.0107754408013034,-0.0258575810471019,0.0034562988045721,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_auprc,-0.0148182288276694,-0.0375118667621489,0.0086188510818469,2000
svm_l1,regret_constrained_medoid,rfecv_only,balanced_accuracy,-0.0283098959616027,-0.0514338458633653,-0.0060306372146605,2000
svm_l1,regret_constrained_medoid,rfecv_only,accuracy,-0.0295315682281058,-0.0539714867617108,-0.0050916496945009,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_f1,-0.031156836554197,-0.0560102913027133,-0.0064945834318256,2000
svm_l1,regret_constrained_medoid,highest_locking_score,macro_ovr_auroc,-0.0058462895333331,-0.015091746948686,0.0025908422683534,2000
svm_l1,regret_constrained_medoid,highest_locking_score,macro_auprc,-0.0108471808220833,-0.0259982007405911,0.0036021014575929,2000
svm_l1,regret_constrained_medoid,highest_locking_score,balanced_accuracy,-0.0026213462054168,-0.0172608922893373,0.0129157910147164,2000
svm_l1,regret_constrained_medoid,highest_locking_score,accuracy,-0.0030549898167004,-0.0193482688391037,0.0142566191446028,2000
svm_l1,regret_constrained_medoid,highest_locking_score,macro_f1,-0.0032561124728509,-0.0191581981908722,0.0133704848967821,2000
