outer_repeat,branch,method,metric,estimate,participants
1,svm_l1,direct,macro_ovr_auroc,0.8367155367733706,491
1,svm_l1,direct,macro_auprc,0.6758734731336664,491
1,svm_l1,direct,balanced_accuracy,0.6640235659831109,491
1,svm_l1,direct,accuracy,0.6435845213849287,491
1,svm_l1,direct,macro_f1,0.6501098901098901,491
2,svm_l1,direct,macro_ovr_auroc,0.8427012858859346,491
2,svm_l1,direct,macro_auprc,0.6868094791337017,491
2,svm_l1,direct,balanced_accuracy,0.680844839947242,491
2,svm_l1,direct,accuracy,0.6639511201629328,491
2,svm_l1,direct,macro_f1,0.6638905175833447,491
1,svm_l1,rfecv_only,macro_ovr_auroc,0.8387948742174263,491
1,svm_l1,rfecv_only,macro_auprc,0.6737217803173681,491
1,svm_l1,rfecv_only,balanced_accuracy,0.684938512814619,491
1,svm_l1,rfecv_only,accuracy,0.6639511201629328,491
1,svm_l1,rfecv_only,macro_f1,0.6758503901149653,491
2,svm_l1,rfecv_only,macro_ovr_auroc,0.8357594480286787,491
2,svm_l1,rfecv_only,macro_auprc,0.6699019826116119,491
2,svm_l1,rfecv_only,balanced_accuracy,0.6702338537989613,491
2,svm_l1,rfecv_only,accuracy,0.6456211812627292,491
2,svm_l1,rfecv_only,macro_f1,0.6618602498463664,491
1,svm_l1,highest_locking_score,macro_ovr_auroc,0.8371423125847195,491
1,svm_l1,highest_locking_score,macro_auprc,0.6774553051663765,491
1,svm_l1,highest_locking_score,balanced_accuracy,0.6461988496122504,491
1,svm_l1,highest_locking_score,accuracy,0.6211812627291242,491
1,svm_l1,highest_locking_score,macro_f1,0.6340526169407665,491
2,svm_l1,highest_locking_score,macro_ovr_auroc,0.8275537071254448,491
2,svm_l1,highest_locking_score,macro_auprc,0.6582263617514313,491
2,svm_l1,highest_locking_score,balanced_accuracy,0.6575964174889585,491
2,svm_l1,highest_locking_score,accuracy,0.6354378818737271,491
2,svm_l1,highest_locking_score,macro_f1,0.6478565748578728,491
1,svm_l1,legacy_top3_medoid,macro_ovr_auroc,0.8240435919494812,491
1,svm_l1,legacy_top3_medoid,macro_auprc,0.6532452497811199,491
1,svm_l1,legacy_top3_medoid,balanced_accuracy,0.654044964727645,491
1,svm_l1,legacy_top3_medoid,accuracy,0.6272912423625254,491
1,svm_l1,legacy_top3_medoid,macro_f1,0.639964984986415,491
2,svm_l1,legacy_top3_medoid,macro_ovr_auroc,0.8345769381709774,491
2,svm_l1,legacy_top3_medoid,macro_auprc,0.6728606485557901,491
2,svm_l1,legacy_top3_medoid,balanced_accuracy,0.6654579933340996,491
2,svm_l1,legacy_top3_medoid,accuracy,0.639511201629328,491
2,svm_l1,legacy_top3_medoid,macro_f1,0.658442788923771,491
1,svm_l1,unrestricted_medoid,macro_ovr_auroc,0.8272356943684901,491
1,svm_l1,unrestricted_medoid,macro_auprc,0.6637792960265424,491
1,svm_l1,unrestricted_medoid,balanced_accuracy,0.6381313587381855,491
1,svm_l1,unrestricted_medoid,accuracy,0.615071283095723,491
1,svm_l1,unrestricted_medoid,macro_f1,0.6319912965074255,491
2,svm_l1,unrestricted_medoid,macro_ovr_auroc,0.8148042935054247,491
2,svm_l1,unrestricted_medoid,macro_auprc,0.639894483814443,491
2,svm_l1,unrestricted_medoid,balanced_accuracy,0.6439864602317195,491
2,svm_l1,unrestricted_medoid,accuracy,0.6191446028513238,491
2,svm_l1,unrestricted_medoid,macro_f1,0.6319536572612582,491
1,svm_l1,regret_constrained_medoid,macro_ovr_auroc,0.8302190499069739,491
1,svm_l1,regret_constrained_medoid,macro_auprc,0.6620551204132813,491
1,svm_l1,regret_constrained_medoid,balanced_accuracy,0.6468960874776299,491
1,svm_l1,regret_constrained_medoid,accuracy,0.6211812627291242,491
1,svm_l1,regret_constrained_medoid,macro_f1,0.6353522066812809,491
2,svm_l1,regret_constrained_medoid,macro_ovr_auroc,0.8227843907365242,491
2,svm_l1,regret_constrained_medoid,macro_auprc,0.6519321848603599,491
2,svm_l1,regret_constrained_medoid,balanced_accuracy,0.651656487212745,491
2,svm_l1,regret_constrained_medoid,accuracy,0.6293279022403259,491
2,svm_l1,regret_constrained_medoid,macro_f1,0.6400447601716565,491
1,xgboost,direct,macro_ovr_auroc,0.824209402147458,491
1,xgboost,direct,macro_auprc,0.6541809322086816,491
1,xgboost,direct,balanced_accuracy,0.6543361190011,491
1,xgboost,direct,accuracy,0.6354378818737271,491
1,xgboost,direct,macro_f1,0.6329162593541428,491
2,xgboost,direct,macro_ovr_auroc,0.8385162048128212,491
2,xgboost,direct,macro_auprc,0.6799360936528646,491
2,xgboost,direct,balanced_accuracy,0.6755821717262931,491
2,xgboost,direct,accuracy,0.659877800407332,491
2,xgboost,direct,macro_f1,0.6531328168090631,491
1,xgboost,rfecv_only,macro_ovr_auroc,0.8250531392816138,491
1,xgboost,rfecv_only,macro_auprc,0.651015762356965,491
1,xgboost,rfecv_only,balanced_accuracy,0.6567540129487033,491
1,xgboost,rfecv_only,accuracy,0.6354378818737271,491
1,xgboost,rfecv_only,macro_f1,0.6408937843374842,491
