dataset,branch,center,cap,condition,tolerance_mode,regret_tolerance,eligible_pool_size,selected_run,selected_feature_count,selected_score,absolute_regret,selected_mean_jaccard,fallback_expansion,selection_used_heldout,status,note
ADNI,boruta_rf,ADNI fixed split,not_applicable,legacy_archived,absolute,0.0,1.0,1.0,27.0,0.5739475055076559,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,boruta_rf,ADNI fixed split,not_applicable,legacy_archived,absolute,0.005,1.0,1.0,27.0,0.5739475055076559,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,boruta_rf,ADNI fixed split,not_applicable,legacy_archived,absolute,0.01,1.0,1.0,27.0,0.5739475055076559,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,boruta_rf,ADNI fixed split,not_applicable,legacy_archived,absolute,0.02,2.0,1.0,27.0,0.5739475055076559,0.0,0.35,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,boruta_rf,ADNI fixed split,not_applicable,legacy_archived,best_run_se_scaled,best_run_score_se,,,,,,,False,False,unavailable_missing_fold_scores,"Five masks are available, but development-fold score vectors were not archived."
ADNI,svm_l1,ADNI fixed split,not_applicable,legacy_archived,absolute,0.0,1.0,4.0,29.0,0.5864126048712515,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,svm_l1,ADNI fixed split,not_applicable,legacy_archived,absolute,0.005,1.0,4.0,29.0,0.5864126048712515,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,svm_l1,ADNI fixed split,not_applicable,legacy_archived,absolute,0.01,1.0,4.0,29.0,0.5864126048712515,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,svm_l1,ADNI fixed split,not_applicable,legacy_archived,absolute,0.02,2.0,4.0,29.0,0.5864126048712515,0.0,0.3488372093023256,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,svm_l1,ADNI fixed split,not_applicable,legacy_archived,best_run_se_scaled,best_run_score_se,,,,,,,False,False,unavailable_missing_fold_scores,"Five masks are available, but development-fold score vectors were not archived."
ADNI,xgboost,ADNI fixed split,not_applicable,legacy_archived,absolute,0.0,1.0,2.0,30.0,0.5422992890850035,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,xgboost,ADNI fixed split,not_applicable,legacy_archived,absolute,0.005,1.0,2.0,30.0,0.5422992890850035,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,xgboost,ADNI fixed split,not_applicable,legacy_archived,absolute,0.01,1.0,2.0,30.0,0.5422992890850035,0.0,,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,xgboost,ADNI fixed split,not_applicable,legacy_archived,absolute,0.02,2.0,2.0,30.0,0.5422992890850035,0.0,0.24489795918367346,False,False,complete,"Recovered five-mask Drive archive; no GA, model fit, or held-out access."
ADNI,xgboost,ADNI fixed split,not_applicable,legacy_archived,best_run_se_scaled,best_run_score_se,,,,,,,False,False,unavailable_missing_fold_scores,"Five masks are available, but development-fold score vectors were not archived."
