center,branch,cap,variant,n_features,n_heldout,macro_auroc,macro_auprc,balanced_accuracy,macro_f1,accuracy
emory,boruta_rf,low,updated_regret_locked,12.0,80,0.8160991858060451,0.6606768002709905,0.5493107769423559,0.4904761904761905,0.625
emory,boruta_rf,low,archived_rfecv_only,,80,0.8153695988605393,0.678743747531465,0.6756265664160401,0.6434128920138391,0.75
emory,boruta_rf,low,archived_locked_medoid,,80,0.8949009614199431,0.6981519150203751,0.7566416040100251,0.662289644012945,0.7625
emory,boruta_rf,reference,updated_regret_locked,25.0,80,0.847409281400222,0.6728529079637879,0.7078320802005013,0.6573399085191538,0.7875
emory,boruta_rf,reference,archived_rfecv_only,,80,0.7956223362367668,0.6524963309572223,0.5700501253132833,0.5595786701777485,0.65
emory,boruta_rf,reference,archived_locked_medoid,,80,0.7734532146623389,0.666136118971289,0.6036340852130325,0.6101101811131603,0.775
emory,svm_l1,low,updated_regret_locked,11.0,80,0.7613258402152923,0.6176747336977307,0.5052005012531328,0.4792458748980488,0.5625
emory,svm_l1,low,archived_rfecv_only,,80,0.7842428030458661,0.6800752444045859,0.6342731829573934,0.5999745449917271,0.6875
emory,svm_l1,low,archived_locked_medoid,,80,0.7836571089609269,0.6467299987473573,0.5296365914786968,0.5202924607455351,0.6625
emory,svm_l1,reference,updated_regret_locked,19.0,80,0.8410620523302793,0.6455090776445753,0.7791979949874687,0.6446828716332262,0.7125
emory,svm_l1,reference,archived_rfecv_only,,80,0.7807997777914731,0.6512719466384502,0.4679824561403509,0.5017810180099205,0.5875
emory,svm_l1,reference,archived_locked_medoid,,80,0.8433420093950724,0.6937995473028735,0.6703007518796994,0.6463927211590762,0.7875
emory,xgboost,low,updated_regret_locked,20.0,80,0.8484711659613516,0.6799154291974823,0.5713032581453634,0.5584372251038917,0.75
emory,xgboost,low,archived_rfecv_only,,80,0.8441029623238423,0.6735824806881509,0.5963032581453634,0.5430927448637758,0.675
