center,branch,cap,selected_run_id,selected_seed,selected_feature_count,selected_locking_score,selected_absolute_regret,stable_mask_hash_from_lock_audit,feature_list_sha256,feature_source,features_json,held_out_used_for_selection
emory,boruta_rf,low,2,43,12,0.8488077350567101,0.0,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,cd415385ea15639f00102103e789635f5ef13f05e497375cdffcaac47a15c347,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/boruta_rf/low/seed_43/run_best_features.csv,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__C4B|P0C0L5"", ""PROT_FRONTAL__GMPR|P36959"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__SQSTM1|Q13501"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__100002254""]",False
emory,boruta_rf,reference,1,42,25,0.8628716536421569,0.0,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,93cab834ec4e186a179335574b62a341044372d62ecf419e346f8fcdb0a0229c,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/boruta_rf/reference/seed_42/run_best_features.csv,"[""PROT_FRONTAL__ALB|P02768"", ""PROT_FRONTAL__ALDH1L1|O75891"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__APOE4|APOE4"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__CAPG|P40121"", ""PROT_FRONTAL__CLU|P10909"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__GPNMB|Q14956"", ""PROT_FRONTAL__HDGFL3|Q9Y3E1"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PPP2R5B|Q15173"", ""PROT_FRONTAL__PRDX6|P30041"", ""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__RPH3A|Q9Y2J0"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__SQSTM1|Q13501"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__533"", ""METAB__1053"", ""METAB__100001383"", ""METAB__100001851"", ""METAB__100002173""]",False
emory,svm_l1,low,5,46,11,0.8501105171180928,0.0,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1877d723e3d6099e855e14af938ace6ca6ce57cfef3f30751defcdfe588b8271,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/svm_l1/low/seed_46/run_best_features.csv,"[""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__RPL32|P62910"", ""PROT_FRONTAL__RPH3A|Q9Y2J0"", ""PROT_FRONTAL__IGHV3-15|A0A0B4J1V0"", ""PROT_FRONTAL__P2RY12|Q9H244"", ""METAB__999925180"", ""PROT_FRONTAL__DDHD1|Q8NEL9"", ""PROT_FRONTAL__RPL27A|P46776"", ""PROT_FRONTAL__APP|P05067"", ""METAB__100015966""]",False
emory,svm_l1,reference,5,46,19,0.8608860826345524,0.0083472828176521,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,dafb9e693e079e0b71b7fbd3e6788ef21073ccaf33016fcc68e9447c7ce24a6b,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/svm_l1/reference/seed_46/run_best_features.csv,"[""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__P2RY12|Q9H244"", ""METAB__999925180"", ""METAB__818"", ""PROT_FRONTAL__DDHD1|Q8NEL9"", ""PROT_FRONTAL__ASAH1|Q13510"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__PTGR1|Q14914"", ""PROT_FRONTAL__FBXL18|Q96ME1"", ""PROT_FRONTAL__LPP|Q93052"", ""PROT_FRONTAL__APOC3|P02656"", ""PROT_FRONTAL__TPM2|P07951"", ""PROT_FRONTAL__APP|P05067"", ""PROT_FRONTAL__CTSD|P07339"", ""METAB__100015966""]",False
emory,xgboost,low,1,42,20,0.8234597012852847,0.0,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,b92ae52cc5e54550073c394ad734888fc48fe776c10cc888957f170e9f8276f8,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/xgboost/low/seed_42/run_best_features.csv,"[""METAB__100020217"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__SEPT6|Q14141"", ""PROT_FRONTAL__POLR2A|P24928"", ""PROT_FRONTAL__SHISA9|B4DS77"", ""PROT_FRONTAL__MYO1B|O43795"", ""METAB__100009055"", ""PROT_FRONTAL__ADD2|P35612"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__SYNRG|Q9UMZ2"", ""METAB__100009067"", ""METAB__100021060"", ""METAB__100002398"", ""PROT_FRONTAL__DYM|Q7RTS9"", ""PROT_FRONTAL__ASAH1|Q13510"", ""METAB__100001851"", ""PROT_FRONTAL__BPGM|P07738"", ""PROT_FRONTAL__KPNA5|O15131"", ""PROT_FRONTAL__TPD52L1|Q16890"", ""PROT_FRONTAL__SQSTM1|Q13501""]",False
emory,xgboost,reference,1,42,20,0.8234597012852847,0.0,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,b92ae52cc5e54550073c394ad734888fc48fe776c10cc888957f170e9f8276f8,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/emory/xgboost/reference/seed_42/run_best_features.csv,"[""METAB__100020217"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__SEPT6|Q14141"", ""PROT_FRONTAL__POLR2A|P24928"", ""PROT_FRONTAL__SHISA9|B4DS77"", ""PROT_FRONTAL__MYO1B|O43795"", ""METAB__100009055"", ""PROT_FRONTAL__ADD2|P35612"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__SYNRG|Q9UMZ2"", ""METAB__100009067"", ""METAB__100021060"", ""METAB__100002398"", ""PROT_FRONTAL__DYM|Q7RTS9"", ""PROT_FRONTAL__ASAH1|Q13510"", ""METAB__100001851"", ""PROT_FRONTAL__BPGM|P07738"", ""PROT_FRONTAL__KPNA5|O15131"", ""PROT_FRONTAL__TPD52L1|Q16890"", ""PROT_FRONTAL__SQSTM1|Q13501""]",False
mayo,boruta_rf,low,1,42,13,0.869409091515904,0.0,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,982398ac6006c7db15a2114fc3914a47e537ff2c67b16a391ef4da618a89f105,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/boruta_rf/low/seed_42/run_best_features.csv,"[""PROT_FRONTAL__DNM1L|O00429"", ""PROT_FRONTAL__GPNMB|Q14956"", ""PROT_FRONTAL__ICAM1|P05362"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__OLFM1|Q99784"", ""PROT_FRONTAL__RPL34|P49207"", ""PROT_FRONTAL__RPS6KA5|O75582"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__VIM|P08670"", ""METAB__362"", ""METAB__1025"", ""METAB__100015962"", ""METAB__100021194""]",False
mayo,boruta_rf,reference,5,46,24,0.8766628884968876,0.0020035105652221,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,6226c52310657767c6a67ee4dc6f227c6fc97c1391ad779094688fbc057d8151,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/boruta_rf/reference/seed_46/run_best_features.csv,"[""PROT_FRONTAL__ANK1|P16157"", ""PROT_FRONTAL__APOE4|APOE4"", ""PROT_FRONTAL__CDH10|Q9Y6N8"", ""PROT_FRONTAL__ICAM1|P05362"", ""PROT_FRONTAL__IDH2|P48735"", ""PROT_FRONTAL__MACROD1|Q9BQ69"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__OLFM1|Q99784"", ""PROT_FRONTAL__PHGDH|O43175"", ""PROT_FRONTAL__PPP6R2|O75170"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__RPL27A|P46776"", ""PROT_FRONTAL__RPL7A|P62424"", ""PROT_FRONTAL__SAMD14|Q8IZD0"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""PROT_FRONTAL__UGP2|Q16851"", ""METAB__41"", ""METAB__533"", ""METAB__1025"", ""METAB__1053"", ""METAB__100000841"", ""METAB__100015850""]",False
mayo,svm_l1,low,3,44,28,0.8803010945693872,0.0,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,ef8eeede84ae13b81d45765a80727301d6b3e1fb02238982176964829e58f37e,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/svm_l1/low/seed_44/run_best_features.csv,"[""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__RPL13|P26373"", ""METAB__100022041"", ""METAB__498"", ""PROT_FRONTAL__ALDH1L1|O75891"", ""PROT_FRONTAL__FLNA|P21333"", ""PROT_FRONTAL__PGM1|P36871"", ""METAB__100001051"", ""PROT_FRONTAL__OAS2|P29728"", ""PROT_FRONTAL__NPTXR|O95502"", ""METAB__1053"", ""PROT_FRONTAL__GFRA2|O00451"", ""METAB__100001315"", ""PROT_FRONTAL__FUT9|Q9Y231"", ""PROT_FRONTAL__IGKV1D-33|P01593"", ""METAB__100021938"", ""PROT_FRONTAL__MTHFD1|P11586"", ""METAB__409"", ""PROT_FRONTAL__ACAT2|Q9BWD1"", ""PROT_FRONTAL__P2RY12|Q9H244"", ""PROT_FRONTAL__GRM2|Q14416"", ""PROT_FRONTAL__YJEFN3|A6XGL0"", ""METAB__999923240"", ""PROT_FRONTAL__CDH4|P55283"", ""PROT_FRONTAL__COL1A2|P08123"", ""METAB__100000269"", ""METAB__100001466""]",False
mayo,svm_l1,reference,3,44,28,0.8803010945693872,0.0,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,ef8eeede84ae13b81d45765a80727301d6b3e1fb02238982176964829e58f37e,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/svm_l1/reference/seed_44/run_best_features.csv,"[""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__RPL13|P26373"", ""METAB__100022041"", ""METAB__498"", ""PROT_FRONTAL__ALDH1L1|O75891"", ""PROT_FRONTAL__FLNA|P21333"", ""PROT_FRONTAL__PGM1|P36871"", ""METAB__100001051"", ""PROT_FRONTAL__OAS2|P29728"", ""PROT_FRONTAL__NPTXR|O95502"", ""METAB__1053"", ""PROT_FRONTAL__GFRA2|O00451"", ""METAB__100001315"", ""PROT_FRONTAL__FUT9|Q9Y231"", ""PROT_FRONTAL__IGKV1D-33|P01593"", ""METAB__100021938"", ""PROT_FRONTAL__MTHFD1|P11586"", ""METAB__409"", ""PROT_FRONTAL__ACAT2|Q9BWD1"", ""PROT_FRONTAL__P2RY12|Q9H244"", ""PROT_FRONTAL__GRM2|Q14416"", ""PROT_FRONTAL__YJEFN3|A6XGL0"", ""METAB__999923240"", ""PROT_FRONTAL__CDH4|P55283"", ""PROT_FRONTAL__COL1A2|P08123"", ""METAB__100000269"", ""METAB__100001466""]",False
mayo,xgboost,low,3,44,22,0.8507659468953624,0.0,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,11988fd7cb0176347a2222eee490e3f7836874d1656332d05aba6f08547fc4a8,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/xgboost/low/seed_44/run_best_features.csv,"[""PROT_FRONTAL__NCKIPSD|Q9NZQ3"", ""PROT_FRONTAL__PPP2R2C|Q9Y2T4"", ""PROT_FRONTAL__MDK|P21741"", ""METAB__564"", ""METAB__362"", ""METAB__100008934"", ""PROT_FRONTAL__EMILIN2|Q9BXX0"", ""METAB__100001278"", ""METAB__358"", ""PROT_FRONTAL__CCDC90B|Q9GZT6"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__ACAT2|Q9BWD1"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__ORM2|P19652"", ""PROT_FRONTAL__CFL2|Q9Y281"", ""METAB__100004251"", ""METAB__100008980"", ""METAB__999924807"", ""PROT_FRONTAL__RUVBL2|Q9Y230"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""METAB__999925983"", ""METAB__100001873""]",False
mayo,xgboost,reference,3,44,22,0.8507659468953624,0.0,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,11988fd7cb0176347a2222eee490e3f7836874d1656332d05aba6f08547fc4a8,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mayo/xgboost/reference/seed_44/run_best_features.csv,"[""PROT_FRONTAL__NCKIPSD|Q9NZQ3"", ""PROT_FRONTAL__PPP2R2C|Q9Y2T4"", ""PROT_FRONTAL__MDK|P21741"", ""METAB__564"", ""METAB__362"", ""METAB__100008934"", ""PROT_FRONTAL__EMILIN2|Q9BXX0"", ""METAB__100001278"", ""METAB__358"", ""PROT_FRONTAL__CCDC90B|Q9GZT6"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__ACAT2|Q9BWD1"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__ORM2|P19652"", ""PROT_FRONTAL__CFL2|Q9Y281"", ""METAB__100004251"", ""METAB__100008980"", ""METAB__999924807"", ""PROT_FRONTAL__RUVBL2|Q9Y230"", ""PROT_FRONTAL__SMOC1|Q9H4F8"", ""METAB__999925983"", ""METAB__100001873""]",False
mount_sinai,boruta_rf,low,3,44,24,0.8803842122311307,0.0059693307771058,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,ee69ac5b396212d6838419a9cdc579ea92e347f501e4b32213637dd5098af261,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/boruta_rf/low/seed_44/run_best_features.csv,"[""PROT_FRONTAL__ACTN1|P12814"", ""PROT_FRONTAL__ADSSL1|Q8N142"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__ATP6V1D|Q9Y5K8"", ""PROT_FRONTAL__CAP2|P40123"", ""PROT_FRONTAL__CAPS|Q13938"", ""PROT_FRONTAL__COMMD1|Q8N668"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__DPP6|P42658"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__GLS2|Q9UI32"", ""PROT_FRONTAL__HTRA1|Q92743"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__MYO9A|B2RTY4"", ""PROT_FRONTAL__RPH3A|Q9Y2J0"", ""PROT_FRONTAL__RTN4|Q9NQC3"", ""PROT_FRONTAL__SEPT5|Q99719"", ""PROT_FRONTAL__TKT|P29401"", ""PROT_FRONTAL__VIM|P08670"", ""PROT_FRONTAL__VWF|P04275"", ""METAB__100000282"", ""METAB__100001271"", ""METAB__999911381""]",False
mount_sinai,boruta_rf,reference,3,44,24,0.8803842122311307,0.0059693307771058,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,ee69ac5b396212d6838419a9cdc579ea92e347f501e4b32213637dd5098af261,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/boruta_rf/reference/seed_44/run_best_features.csv,"[""PROT_FRONTAL__ACTN1|P12814"", ""PROT_FRONTAL__ADSSL1|Q8N142"", ""PROT_FRONTAL__APOA1|P02647"", ""PROT_FRONTAL__ATP6V1D|Q9Y5K8"", ""PROT_FRONTAL__CAP2|P40123"", ""PROT_FRONTAL__CAPS|Q13938"", ""PROT_FRONTAL__COMMD1|Q8N668"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__DPP6|P42658"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__GLS2|Q9UI32"", ""PROT_FRONTAL__HTRA1|Q92743"", ""PROT_FRONTAL__MAPT|P10636"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__MYO9A|B2RTY4"", ""PROT_FRONTAL__RPH3A|Q9Y2J0"", ""PROT_FRONTAL__RTN4|Q9NQC3"", ""PROT_FRONTAL__SEPT5|Q99719"", ""PROT_FRONTAL__TKT|P29401"", ""PROT_FRONTAL__VIM|P08670"", ""PROT_FRONTAL__VWF|P04275"", ""METAB__100000282"", ""METAB__100001271"", ""METAB__999911381""]",False
mount_sinai,svm_l1,low,1,42,12,0.8796456339837061,0.0,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,e79832a6a033095a4ea7bfa5c16765657f60e8f22ef537b9414eaca529a1411d,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/svm_l1/low/seed_42/run_best_features.csv,"[""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__NTN1|O95631"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""PROT_FRONTAL__NDUFA11|Q86Y39"", ""METAB__100000282"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__SEPT11|Q9NVA2"", ""PROT_FRONTAL__TKT|P29401"", ""PROT_FRONTAL__CAMKK2|Q96RR4"", ""PROT_FRONTAL__PHGDH|O43175"", ""METAB__100002910""]",False
mount_sinai,svm_l1,reference,5,46,17,0.8920246270544959,0.003702196570253,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,dfe4eff989869c28ff4c887560e6509a21def07ff429b86eec3002c2a9afdfe5,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/svm_l1/reference/seed_46/run_best_features.csv,"[""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__NTN1|O95631"", ""PROT_FRONTAL__TMEM106B|Q9NUM4"", ""METAB__533"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__CADM3|Q8N126"", ""PROT_FRONTAL__QPRT|Q15274"", ""PROT_FRONTAL__HSPB1|P04792"", ""PROT_FRONTAL__CTSD|P07339"", ""PROT_FRONTAL__CTHRC1|Q96CG8"", ""METAB__100000963"", ""PROT_FRONTAL__RPL13|P26373"", ""PROT_FRONTAL__S100A13|Q99584"", ""PROT_FRONTAL__ACTN4|O43707"", ""METAB__100009025"", ""METAB__100002910"", ""METAB__100008947""]",False
mount_sinai,xgboost,low,4,45,24,0.8722208719829501,0.0,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,fc1751c6172d6d900bd2cff953832ee452bacf6a69aceb2f7262ec17c4186742,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/xgboost/low/seed_45/run_best_features.csv,"[""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__WDR44|Q5JSH3"", ""PROT_FRONTAL__ELMOD1|Q8N336"", ""PROT_FRONTAL__CEBPZOS|A8MTT3"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__HSP90B1|P14625"", ""PROT_FRONTAL__FLT1|P17948"", ""METAB__1124"", ""PROT_FRONTAL__NEFL|P07196"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__CD63|P08962"", ""PROT_FRONTAL__NCKIPSD|Q9NZQ3"", ""METAB__100002106"", ""PROT_FRONTAL__CALB2|P22676"", ""PROT_FRONTAL__GFAP|P14136"", ""METAB__100015834"", ""PROT_FRONTAL__KNG1|P01042"", ""METAB__100015723"", ""METAB__100000491"", ""PROT_FRONTAL__PLCD1|P51178"", ""PROT_FRONTAL__HSDL1|Q3SXM5"", ""METAB__999917010"", ""PROT_FRONTAL__ITIH3|Q06033"", ""METAB__100004488""]",False
mount_sinai,xgboost,reference,4,45,24,0.8722208719829501,0.0,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,fc1751c6172d6d900bd2cff953832ee452bacf6a69aceb2f7262ec17c4186742,analysis/remaining90_completed_20260806/results/WrapEvoFS_AMPAD_Remaining_90_results/recommended_untruncated/mount_sinai/xgboost/reference/seed_45/run_best_features.csv,"[""PROT_FRONTAL__PRKCE|Q02156"", ""PROT_FRONTAL__WDR44|Q5JSH3"", ""PROT_FRONTAL__ELMOD1|Q8N336"", ""PROT_FRONTAL__CEBPZOS|A8MTT3"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__HSP90B1|P14625"", ""PROT_FRONTAL__FLT1|P17948"", ""METAB__1124"", ""PROT_FRONTAL__NEFL|P07196"", ""PROT_FRONTAL__EPB41L3|Q9Y2J2"", ""PROT_FRONTAL__CD63|P08962"", ""PROT_FRONTAL__NCKIPSD|Q9NZQ3"", ""METAB__100002106"", ""PROT_FRONTAL__CALB2|P22676"", ""PROT_FRONTAL__GFAP|P14136"", ""METAB__100015834"", ""PROT_FRONTAL__KNG1|P01042"", ""METAB__100015723"", ""METAB__100000491"", ""PROT_FRONTAL__PLCD1|P51178"", ""PROT_FRONTAL__HSDL1|Q3SXM5"", ""METAB__999917010"", ""PROT_FRONTAL__ITIH3|Q06033"", ""METAB__100004488""]",False
rush,boruta_rf,low,1,42,12,0.8782082054411804,0.0,not_recomputed_without_full_candidate_universe,92e3a299e27818bd0fd3553cf9a0bdecb81fb676b3165c2fa135aa24b2b21c75,analysis/ampad_updated_one_time_heldout_20260808/rush_recovery/boruta_rf_low_seed42.csv,"[""PROT_FRONTAL__AHNAK|Q09666"", ""PROT_FRONTAL__CADM3|Q8N126"", ""PROT_FRONTAL__DCLK1|O15075"", ""PROT_FRONTAL__GFAP|P14136"", ""PROT_FRONTAL__ICAM1|P05362"", ""PROT_FRONTAL__ILK|Q13418"", ""PROT_FRONTAL__MDK|P21741"", ""PROT_FRONTAL__PBXIP1|Q96AQ6"", ""PROT_FRONTAL__PLCD3|Q8N3E9"", ""PROT_FRONTAL__S100A13|Q99584"", ""METAB__100021194"", ""METAB__999925028""]",False
