center,branch,cap,run_i,run_j,stable_mask_hash_i,stable_mask_hash_j,jaccard
emory,boruta_rf,low,2,2,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,1.0
emory,boruta_rf,low,2,3,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,0.125
emory,boruta_rf,low,2,1,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,0.2631578947368421
emory,boruta_rf,low,3,2,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,0.125
emory,boruta_rf,low,3,3,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,1.0
emory,boruta_rf,low,3,1,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,0.125
emory,boruta_rf,low,1,2,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,55b09c99d532ce867da7f3bab61ad4a5835afb9f4907413767154de311d0e9a0,0.2631578947368421
emory,boruta_rf,low,1,3,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,a81f37332e6728af48f98143c36869985152e8ba40b467ac9b1b6e6e92dbd459,0.125
emory,boruta_rf,low,1,1,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,baab7b7fd32986acc19d04ebeed88d30c8eaa0776f629ed8290673b45cd87301,1.0
emory,boruta_rf,reference,3,3,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,1.0
emory,boruta_rf,reference,3,4,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,0.21951219512195122
emory,boruta_rf,reference,3,1,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,0.25
emory,boruta_rf,reference,4,3,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,0.21951219512195122
emory,boruta_rf,reference,4,4,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,1.0
emory,boruta_rf,reference,4,1,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,0.35135135135135137
emory,boruta_rf,reference,1,3,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,194cbbc02c6940bcb3ef62921a3999a5c0d046425b9c9d1e79188f71b72f6e2f,0.25
emory,boruta_rf,reference,1,4,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,7740235a70c87fadb46072ffe569c48408db521ef949c37ef25a11f31e2e7f75,0.35135135135135137
emory,boruta_rf,reference,1,1,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,862a55e5b4eebaf6750185cefeec292e3bdcd9acbc3af5d639008d5b4215a901,1.0
emory,svm_l1,low,5,5,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,1.0
emory,svm_l1,low,5,1,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,0.29411764705882354
emory,svm_l1,low,5,2,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,0.05
emory,svm_l1,low,1,5,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,0.29411764705882354
emory,svm_l1,low,1,1,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,1.0
emory,svm_l1,low,1,2,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,0.05
emory,svm_l1,low,2,5,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,1851c7ba78f20905ed91cf6baee047025e50d9606f306710d4606d41c0024147,0.05
emory,svm_l1,low,2,1,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,bc4767ac98eaa41ff2ddc0fa8d302675ead36d7ab3bbceb1d8b5927ca9c16f46,0.05
emory,svm_l1,low,2,2,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,1.0
emory,svm_l1,reference,3,3,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,1.0
emory,svm_l1,reference,3,5,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,0.26666666666666666
emory,svm_l1,reference,3,1,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,0.26666666666666666
emory,svm_l1,reference,3,2,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,0.3103448275862069
emory,svm_l1,reference,5,3,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,0.26666666666666666
emory,svm_l1,reference,5,5,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,1.0
emory,svm_l1,reference,5,1,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,0.35714285714285715
emory,svm_l1,reference,5,2,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,0.3103448275862069
emory,svm_l1,reference,1,3,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,0.26666666666666666
emory,svm_l1,reference,1,5,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,0.35714285714285715
emory,svm_l1,reference,1,1,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,1.0
emory,svm_l1,reference,1,2,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,0.1875
emory,svm_l1,reference,2,3,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,0.3103448275862069
emory,svm_l1,reference,2,5,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,0.3103448275862069
emory,svm_l1,reference,2,1,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,0.1875
emory,svm_l1,reference,2,2,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,1.0
emory,xgboost,low,2,2,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,1.0
emory,xgboost,low,2,1,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,0.125
