center,branch,cap,variant,n_features,n_heldout,macro_auroc,macro_auprc,balanced_accuracy,macro_f1,accuracy
emory,boruta_rf,low,updated_regret_locked,12.0,80,0.8160991858060451,0.6606768002709905,0.5493107769423559,0.4904761904761905,0.625
emory,boruta_rf,reference,updated_regret_locked,25.0,80,0.847409281400222,0.6728529079637879,0.7078320802005013,0.6573399085191538,0.7875
emory,svm_l1,low,updated_regret_locked,11.0,80,0.7613258402152923,0.6176747336977307,0.5052005012531328,0.4792458748980488,0.5625
emory,svm_l1,reference,updated_regret_locked,19.0,80,0.8410620523302793,0.6455090776445753,0.7791979949874687,0.6446828716332262,0.7125
emory,xgboost,low,updated_regret_locked,20.0,80,0.8484711659613516,0.6799154291974823,0.5713032581453634,0.5584372251038917,0.75
emory,xgboost,reference,updated_regret_locked,20.0,80,0.8484711659613516,0.6799154291974823,0.5713032581453634,0.5584372251038917,0.75
mayo,boruta_rf,low,updated_regret_locked,13.0,217,0.8220287916148946,0.6872485179312343,0.5757003307807232,0.5674921538352861,0.6543778801843319
mayo,boruta_rf,reference,updated_regret_locked,24.0,217,0.8528326258552158,0.6827645505435096,0.5303634004389312,0.5345394007889022,0.6405529953917051
mayo,svm_l1,low,updated_regret_locked,28.0,217,0.8295455019203044,0.6733935497798198,0.5895121448145129,0.5980868338659301,0.663594470046083
mayo,svm_l1,reference,updated_regret_locked,28.0,217,0.8295455019203044,0.6733935497798198,0.5895121448145129,0.5980868338659301,0.663594470046083
mayo,xgboost,low,updated_regret_locked,22.0,217,0.8274732523551392,0.6485091797174378,0.5806876877761735,0.5823179716055192,0.6728110599078341
mayo,xgboost,reference,updated_regret_locked,22.0,217,0.8274732523551392,0.6485091797174378,0.5806876877761735,0.5823179716055192,0.6728110599078341
mount_sinai,boruta_rf,low,updated_regret_locked,24.0,52,0.7013401898576316,0.5635315274341809,0.4957671957671958,0.4072710914816178,0.5
mount_sinai,boruta_rf,reference,updated_regret_locked,24.0,52,0.7013401898576316,0.5635315274341809,0.4957671957671958,0.4072710914816178,0.5
mount_sinai,svm_l1,low,updated_regret_locked,12.0,52,0.6347313260103958,0.4918799282837754,0.4288359788359788,0.3993133303478131,0.4230769230769231
mount_sinai,svm_l1,reference,updated_regret_locked,17.0,52,0.6250974812021323,0.5169938973052289,0.4330687830687831,0.3950385657702731,0.4038461538461538
mount_sinai,xgboost,low,updated_regret_locked,24.0,52,0.6955716306007004,0.5882797872312516,0.5208994708994709,0.4982716049382716,0.5384615384615384
mount_sinai,xgboost,reference,updated_regret_locked,24.0,52,0.6955716306007004,0.5882797872312516,0.5208994708994709,0.4982716049382716,0.5384615384615384
rush,boruta_rf,low,updated_regret_locked,12.0,178,0.7784875652781569,0.6131537772462728,0.5469178300503601,0.4644285633434691,0.5112359550561798
rush,boruta_rf,reference,updated_regret_locked,23.0,178,0.7716422347063813,0.6040403456170944,0.5640916841971059,0.4868510598353778,0.5280898876404494
rush,svm_l1,low,updated_regret_locked,28.0,178,0.7630099826925535,0.5708894396537496,0.5160244151208007,0.456603516349279,0.5056179775280899
rush,svm_l1,reference,updated_regret_locked,23.0,178,0.8098444006294868,0.6419814364897126,0.5581333269586282,0.5398995318449865,0.6235955056179775
rush,xgboost,low,updated_regret_locked,21.0,178,0.7683430981950264,0.6076272607178885,0.5921901893287435,0.5811859397597937,0.6067415730337079
rush,xgboost,reference,updated_regret_locked,21.0,178,0.7548515665257955,0.5779459874570666,0.5573344967170267,0.4751554172098509,0.5168539325842697
