outer_repeat,outer_fold,branch,method,n_features,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
1,1,svm_l1,elastic_net_native,74,0.871151885738193,0.7298334404207756,0.6889396210985416,0.6666666666666666,0.683100233100233
1,1,svm_l1,elastic_net_matched,15,0.8416263452709943,0.7044486872804985,0.681363863522784,0.6565656565656566,0.676930596285435
1,1,svm_l1,stability_native,58,0.8697039806284227,0.7382910760437955,0.6573758575257825,0.6363636363636364,0.6412888071895425
1,1,svm_l1,stability_matched,15,0.8048024377121491,0.6241111051435502,0.6272318386261415,0.5959595959595959,0.6201923076923077
1,1,svm_l1,random_bank_rep_01,15,0.8527811728804429,0.7218429109801272,0.6622459873959123,0.6565656565656566,0.6496661290778938
1,1,svm_l1,random_bank_rep_02,15,0.873101646684891,0.7531901355500621,0.6930625596292763,0.6767676767676768,0.6771588808871327
1,1,svm_l1,random_bank_rep_03,15,0.8532226019956737,0.7031571261089806,0.6965153786742991,0.6767676767676768,0.6906759906759906
1,1,svm_l1,random_bank_rep_04,15,0.8595509480289577,0.7123401403329572,0.6520489755122438,0.6262626262626263,0.6348940650536121
1,1,svm_l1,random_bank_rep_05,15,0.871484996849946,0.7454802718412895,0.7324178819681068,0.7070707070707071,0.7321254014802401
1,1,xgboost,elastic_net_native,82,0.8518474289595607,0.6999299752997042,0.6563309254463676,0.6363636363636364,0.6437279670975323
1,1,xgboost,elastic_net_matched,20,0.8709542929916595,0.733397174348757,0.6704942983053926,0.6464646464646465,0.6616915422885573
1,1,xgboost,stability_native,54,0.8585631453883034,0.7075503050514904,0.6910294852573713,0.6666666666666666,0.683829611248966
1,1,xgboost,stability_matched,20,0.8562574637358715,0.7062422017654877,0.651004043432829,0.6262626262626263,0.6405985319028797
1,1,xgboost,random_bank_rep_01,20,0.8521960155146852,0.6975659026936752,0.7084298759711054,0.6868686868686869,0.7051596382259998
1,1,xgboost,random_bank_rep_02,20,0.8356773277128292,0.6857154045489489,0.6381014038435328,0.6060606060606061,0.6327766216991964
1,1,xgboost,random_bank_rep_03,20,0.8564052442440102,0.7130676559912341,0.6411794102948525,0.6161616161616161,0.631831119544592
1,1,xgboost,random_bank_rep_04,20,0.819144242067756,0.6401517864022351,0.6477670255781199,0.6161616161616161,0.6361909663505134
1,1,xgboost,random_bank_rep_05,20,0.8446963889893742,0.6881072275325485,0.6573758575257825,0.6363636363636364,0.6431618439091266
1,1,boruta_rf,elastic_net_native,58,0.8469517324282825,0.6860089520794601,0.6532529189950479,0.6262626262626263,0.6484016216991964
1,1,boruta_rf,elastic_net_matched,18,0.8503495393917407,0.6869059536693194,0.6696651674162918,0.6363636363636364,0.6710621345867248
1,1,boruta_rf,stability_native,22,0.8434324222341696,0.6712408299745204,0.6662123483712689,0.6363636363636364,0.6618747372845734
1,1,boruta_rf,stability_matched,18,0.8357674221413702,0.6927518937198751,0.6694493662259778,0.6464646464646465,0.6635061919504645
1,1,boruta_rf,random_bank_rep_01,18,0.853991366725759,0.7077432408586368,0.6889396210985416,0.6666666666666666,0.6831291943232242
1,1,boruta_rf,random_bank_rep_02,18,0.84792914224033,0.7006060065932807,0.668404434146563,0.6464646464646465,0.6624708624708624
1,1,boruta_rf,random_bank_rep_03,18,0.841368622892514,0.6790313235827694,0.7020580618781518,0.6767676767676768,0.7013773532668881
1,1,boruta_rf,random_bank_rep_04,18,0.8283509064146855,0.6616792066631862,0.6274476398164555,0.5858585858585859,0.6315873015873015
1,1,boruta_rf,random_bank_rep_05,18,0.8419019834104159,0.6826786696895817,0.6866907455363227,0.6666666666666666,0.6774611715788186
1,2,svm_l1,elastic_net_native,71,0.8495715069244482,0.7257945481584536,0.6871212121212121,0.6632653061224489,0.6859902268117278
1,2,svm_l1,elastic_net_matched,15,0.8000552981590133,0.667438654386137,0.6075757575757575,0.5714285714285714,0.6030952380952381
1,2,svm_l1,stability_native,57,0.8505641675146319,0.7074915229599379,0.7037878787878789,0.6836734693877551,0.7025696167312017
1,2,svm_l1,stability_matched,15,0.8284425133689839,0.6675691560630554,0.6621212121212121,0.6326530612244898,0.6602334511549256
1,2,svm_l1,random_bank_rep_01,15,0.8490496925674944,0.7055679141664748,0.665909090909091,0.6326530612244898,0.6634586570157441
1,2,svm_l1,random_bank_rep_02,15,0.8422622720416838,0.7223594117908163,0.6409090909090909,0.6122448979591837,0.6391841916112129
1,2,svm_l1,random_bank_rep_03,15,0.8231123301363239,0.6860858846792531,0.6181818181818182,0.5816326530612245,0.6129943793798434
1,2,svm_l1,random_bank_rep_04,15,0.8349821295835228,0.6700303784171762,0.7340909090909091,0.7244897959183674,0.7275698158051099
1,2,svm_l1,random_bank_rep_05,15,0.8257905471721262,0.6830283078415643,0.6333333333333333,0.6020408163265306,0.6301925234748714
1,2,xgboost,elastic_net_native,61,0.8340033160853595,0.6902671259601761,0.6674242424242425,0.6326530612244898,0.6668214654282766
1,2,xgboost,elastic_net_matched,20,0.827648808879459,0.6534816820288574,0.6356060606060607,0.6020408163265306,0.6339371980676329
1,2,xgboost,stability_native,26,0.8325307432505575,0.6614259334817711,0.671969696969697,0.6428571428571429,0.6702871072589381
1,2,xgboost,stability_matched,20,0.8290841704734894,0.6658134983983406,0.6659090909090908,0.6428571428571429,0.6623608149727552
1,2,xgboost,random_bank_rep_01,20,0.8321811380054414,0.6715242019029791,0.6757575757575758,0.6428571428571429,0.6773124774612334
1,2,xgboost,random_bank_rep_02,20,0.848685067512467,0.682731184944131,0.6636363636363637,0.6326530612244898,0.6633633633633633
1,2,xgboost,random_bank_rep_03,20,0.8123170109044722,0.6491274747901844,0.6227272727272727,0.5918367346938775,0.6213675213675214
1,2,xgboost,random_bank_rep_04,20,0.8379840618617709,0.6777855664434078,0.6128787878787879,0.5816326530612245,0.6088016967126193
1,2,xgboost,random_bank_rep_05,20,0.842369756146846,0.6883276646160331,0.6151515151515151,0.5918367346938775,0.608003682584937
1,2,boruta_rf,elastic_net_native,86,0.840878870871131,0.694301296995421,0.6712121212121211,0.6530612244897959,0.665034965034965
1,2,boruta_rf,elastic_net_matched,18,0.8333266127577272,0.696562860768418,0.6727272727272727,0.6428571428571429,0.6739298724954462
1,2,boruta_rf,stability_native,48,0.840608198560985,0.687741090770485,0.6886363636363636,0.673469387755102,0.6779728725380899
1,2,boruta_rf,stability_matched,18,0.8566876492960085,0.7241696904510073,0.6954545454545454,0.6836734693877551,0.6830985915492959
1,2,boruta_rf,random_bank_rep_01,18,0.8396224389645442,0.6874718993408119,0.6780303030303031,0.6428571428571429,0.6762187088274045
1,2,boruta_rf,random_bank_rep_02,18,0.8430815508021391,0.6996598434552962,0.6772727272727272,0.6530612244897959,0.674858607281725
1,2,boruta_rf,random_bank_rep_03,18,0.8482472829028556,0.69921760809513,0.6931818181818181,0.6632653061224489,0.6936219262295081
1,2,boruta_rf,random_bank_rep_04,18,0.828844169246646,0.6859812379628536,0.625,0.5918367346938775,0.6224602589746289
1,2,boruta_rf,random_bank_rep_05,18,0.8380343985220146,0.6774877566690007,0.6954545454545455,0.673469387755102,0.6937675070028011
1,3,svm_l1,elastic_net_native,76,0.8177157981337548,0.6680329599891505,0.593939393939394,0.5612244897959183,0.5987085497064114
1,3,svm_l1,elastic_net_matched,15,0.820311564080914,0.6806022044243277,0.5901515151515151,0.5510204081632653,0.591704147926037
1,3,svm_l1,stability_native,53,0.817184737347276,0.6673090805532679,0.6128787878787879,0.5816326530612245,0.6201227617483775
1,3,svm_l1,stability_matched,15,0.7749433036004244,0.6315526267526415,0.5901515151515151,0.5510204081632653,0.5890937019969278
1,3,svm_l1,random_bank_rep_01,15,0.8098305783483801,0.6536027344092267,0.6242424242424242,0.5918367346938775,0.6205018939393939
1,3,svm_l1,random_bank_rep_02,15,0.7953711471706828,0.6460038383875721,0.6022727272727273,0.5816326530612245,0.589569597069597
1,3,svm_l1,random_bank_rep_03,15,0.7648729495478722,0.5938385316184772,0.5332167832167832,0.5306122448979592,0.5337919776119403
1,3,svm_l1,random_bank_rep_04,15,0.7822694526835394,0.6209240554185348,0.5803030303030302,0.5408163265306123,0.582838589981447
1,3,svm_l1,random_bank_rep_05,15,0.8261510677145352,0.6631302957093363,0.6318181818181817,0.6122448979591837,0.6234662026406429
1,3,xgboost,elastic_net_native,62,0.8179383439058361,0.6622623479349327,0.6106060606060606,0.5816326530612245,0.6087121212121213
1,3,xgboost,elastic_net_matched,20,0.8224801900885492,0.6628953042749172,0.6333333333333333,0.6020408163265306,0.6361751152073732
1,3,xgboost,stability_native,27,0.8253176712348539,0.6772542553746452,0.5984848484848484,0.5612244897959183,0.6030709244080146
1,3,xgboost,stability_matched,20,0.8176020444983294,0.6679370878935557,0.6143939393939394,0.5816326530612245,0.6173020527859238
1,3,xgboost,random_bank_rep_01,20,0.7906320588596131,0.6477846600789046,0.6318181818181818,0.6020408163265306,0.6253126992691421
