branch,method,mean_n_features
boruta_rf,direct,100.0
boruta_rf,regret_constrained_medoid,18.0
boruta_rf,rfecv_only,8.8
svm_l1,direct,81.0
svm_l1,regret_constrained_medoid,14.6
svm_l1,rfecv_only,12.7
xgboost,direct,100.0
xgboost,regret_constrained_medoid,20.0
xgboost,rfecv_only,19.4
boruta_rf,elastic_net_matched,18.0
boruta_rf,elastic_net_native,60.4
boruta_rf,random_bank_rep_01,18.0
boruta_rf,random_bank_rep_02,18.0
boruta_rf,random_bank_rep_03,18.0
boruta_rf,random_bank_rep_04,18.0
boruta_rf,random_bank_rep_05,18.0
boruta_rf,stability_matched,18.0
boruta_rf,stability_native,30.6
svm_l1,elastic_net_matched,14.6
svm_l1,elastic_net_native,73.7
svm_l1,random_bank_rep_01,14.6
svm_l1,random_bank_rep_02,14.6
svm_l1,random_bank_rep_03,14.6
svm_l1,random_bank_rep_04,14.6
svm_l1,random_bank_rep_05,14.6
svm_l1,stability_matched,14.6
svm_l1,stability_native,58.0
xgboost,elastic_net_matched,20.0
xgboost,elastic_net_native,77.0
xgboost,random_bank_rep_01,20.0
xgboost,random_bank_rep_02,20.0
xgboost,random_bank_rep_03,20.0
xgboost,random_bank_rep_04,20.0
xgboost,random_bank_rep_05,20.0
xgboost,stability_matched,20.0
xgboost,stability_native,38.2
