branch,method,feature,selection_count,selection_frequency
boruta_rf,elastic_net_matched,RNA::AK2,2,0.2
boruta_rf,elastic_net_matched,RNA::ASAP3,10,1.0
boruta_rf,elastic_net_matched,RNA::ATP5EP2,7,0.7
boruta_rf,elastic_net_matched,RNA::ATP6V1C2,2,0.2
boruta_rf,elastic_net_matched,RNA::ATP8B5P,1,0.1
boruta_rf,elastic_net_matched,RNA::B3GNT5,1,0.1
boruta_rf,elastic_net_matched,RNA::C14orf147,1,0.1
boruta_rf,elastic_net_matched,RNA::C15orf21,5,0.5
boruta_rf,elastic_net_matched,RNA::C1orf116,1,0.1
boruta_rf,elastic_net_matched,RNA::C3orf38,2,0.2
boruta_rf,elastic_net_matched,RNA::CA9,3,0.3
boruta_rf,elastic_net_matched,RNA::CARD8,1,0.1
boruta_rf,elastic_net_matched,RNA::CD151,1,0.1
boruta_rf,elastic_net_matched,RNA::CLIC1,1,0.1
boruta_rf,elastic_net_matched,RNA::CNIH4,1,0.1
boruta_rf,elastic_net_matched,RNA::CNPY3,1,0.1
boruta_rf,elastic_net_matched,RNA::CPEB3,1,0.1
boruta_rf,elastic_net_matched,RNA::DNALI1,1,0.1
boruta_rf,elastic_net_matched,RNA::EEF1A1P9,9,0.9
boruta_rf,elastic_net_matched,RNA::FAM120AOS,1,0.1
boruta_rf,elastic_net_matched,RNA::FAM90A7,1,0.1
boruta_rf,elastic_net_matched,RNA::FTHL3,10,1.0
boruta_rf,elastic_net_matched,RNA::GCSH,2,0.2
boruta_rf,elastic_net_matched,RNA::GPR179,1,0.1
boruta_rf,elastic_net_matched,RNA::H3F3C,1,0.1
boruta_rf,elastic_net_matched,RNA::HDAC1,1,0.1
boruta_rf,elastic_net_matched,RNA::HIST1H1C,1,0.1
boruta_rf,elastic_net_matched,RNA::HIST1H2BE,1,0.1
boruta_rf,elastic_net_matched,RNA::HNRNPA3P1,6,0.6
boruta_rf,elastic_net_matched,RNA::ID2B,1,0.1
boruta_rf,elastic_net_matched,RNA::ID4,1,0.1
boruta_rf,elastic_net_matched,RNA::IRF2,1,0.1
boruta_rf,elastic_net_matched,RNA::LOC341056,1,0.1
boruta_rf,elastic_net_matched,RNA::LOC442454,6,0.6
boruta_rf,elastic_net_matched,RNA::LOC613037,1,0.1
boruta_rf,elastic_net_matched,RNA::LOC643387,10,1.0
boruta_rf,elastic_net_matched,RNA::LOC644936,7,0.7
boruta_rf,elastic_net_matched,RNA::LOC728643,8,0.8
boruta_rf,elastic_net_matched,RNA::LSM14A,6,0.6
boruta_rf,elastic_net_matched,RNA::MFSD2B,7,0.7
boruta_rf,elastic_net_matched,RNA::MICAL3,2,0.2
boruta_rf,elastic_net_matched,RNA::MPRIP,5,0.5
boruta_rf,elastic_net_matched,RNA::MRPL36,1,0.1
boruta_rf,elastic_net_matched,RNA::MTX1,1,0.1
boruta_rf,elastic_net_matched,RNA::MYH6,1,0.1
