branch,metric,mean_across_random_banks,min_across_random_banks,max_across_random_banks,random_bank_replicates
boruta_rf,accuracy,0.6242362525458248,0.6079429735234216,0.6456211812627292,5
boruta_rf,balanced_accuracy,0.6539713825997012,0.640025092901199,0.6743499652475633,5
boruta_rf,macro_auprc,0.664977328100216,0.6529631057765624,0.6742510041731973,5
boruta_rf,macro_f1,0.6501381489079315,0.6361496425604877,0.6707794896912274,5
boruta_rf,macro_ovr_auroc,0.8319646794407664,0.8282178759894618,0.8386150693211456,5
svm_l1,accuracy,0.6291242362525459,0.6221995926680245,0.6374745417515275,5
svm_l1,balanced_accuracy,0.6556908072963699,0.6467574881923808,0.6645750214808369,5
svm_l1,macro_auprc,0.6603853793394453,0.6539855609891863,0.6681965557065046,5
svm_l1,macro_f1,0.6501338353959983,0.6419625385988194,0.6586815439729161,5
svm_l1,macro_ovr_auroc,0.8283134440106537,0.8224694044121388,0.8341370141466058,5
xgboost,accuracy,0.6046843177189409,0.5814663951120163,0.6221995926680244,5
xgboost,balanced_accuracy,0.630798936630163,0.6037352028502472,0.6496069827770208,5
xgboost,macro_auprc,0.6414029465471278,0.6250926483995831,0.6571554130654437,5
xgboost,macro_f1,0.6213473514921274,0.591801236659168,0.6419121405676431,5
xgboost,macro_ovr_auroc,0.8167991024806882,0.8074045401787113,0.8255133690609376,5
