branch,metric,mean_difference_across_random_banks,min_difference_across_random_banks,max_difference_across_random_banks,random_bank_replicates
boruta_rf,accuracy,0.0020366598778003954,-0.0193482688391039,0.018329938900203624,5
boruta_rf,balanced_accuracy,-0.0035911581044324238,-0.02396974075229452,0.010355131594069755,5
boruta_rf,macro_auprc,-0.004334073841111086,-0.013607749914092304,0.007680148482542615,5
boruta_rf,macro_f1,-0.012759474738471254,-0.0334008155217671,0.0012290316089725861,5
boruta_rf,macro_ovr_auroc,-0.004259660478003147,-0.010910050358382328,-0.0005128570266985655,5
svm_l1,accuracy,-0.0038696537678207577,-0.012219959266802416,0.003054989816700604,5
svm_l1,balanced_accuracy,-0.006414519951182385,-0.015298734135649417,0.0025187991528067277,5
svm_l1,macro_auprc,-0.0033917267026247534,-0.011202903069684078,0.00300809164763427,5
svm_l1,macro_f1,-0.012435351969529652,-0.020983060546447385,-0.004264055172350623,5
svm_l1,macro_ovr_auroc,-0.0018117236889046318,-0.007635293824856726,0.0040323159096102845,5
xgboost,accuracy,0.028716904276985745,0.011201629327902252,0.05193482688391038,5
xgboost,balanced_accuracy,0.021386977960935007,0.002578931814077201,0.048450711740850805,5
xgboost,macro_auprc,0.015678851169437125,-7.361534887873056e-05,0.031989149316981824,5
xgboost,macro_f1,0.018813926799767233,-0.0017508622757484993,0.04836004163272667,5
xgboost,macro_ovr_auroc,0.010220682500304413,0.0015064159200549598,0.019615244802281273,5
