repeat,fold,branch,replicate,selected_absolute_regret,selected_within_declared_tolerance,eligible_pool_size,rf_fit_count,tree_fit_count,elapsed_seconds
1,1,svm_l1,1,0.0,True,1,25,12500,41.33140429999912
1,1,svm_l1,2,0.0,True,1,25,12500,5.085865200002445
1,1,svm_l1,3,0.0,True,2,25,12500,4.918211800002609
1,1,svm_l1,4,0.0,True,4,25,12500,4.908439899998484
1,1,svm_l1,5,0.0,True,1,25,12500,5.174101900003734
1,1,xgboost,1,4.789910170299727e-05,True,3,25,12500,4.96197229999234
1,1,xgboost,2,0.0,True,4,25,12500,4.900068899994949
1,1,xgboost,3,0.0,True,1,25,12500,4.844210800001747
1,1,xgboost,4,0.003216055554042585,True,5,25,12500,4.978441900006146
1,1,xgboost,5,0.006375090789795035,True,3,25,12500,4.9329226999980165
1,1,boruta_rf,1,0.008720819094697352,True,3,25,12500,4.720820000002277
1,1,boruta_rf,2,0.0,True,2,25,12500,4.667327100003604
1,1,boruta_rf,3,0.0,True,2,25,12500,4.712398999996367
1,1,boruta_rf,4,0.0,True,1,25,12500,5.1103214000031585
1,1,boruta_rf,5,0.0014242747150025048,True,3,25,12500,5.313266099998145
1,2,svm_l1,1,0.006086575119642501,True,3,25,12500,10.848601799996686
1,2,svm_l1,2,0.0,True,2,25,12500,10.3517537000007
1,2,svm_l1,3,0.0,True,2,25,12500,10.827231399991433
1,2,svm_l1,4,0.0,True,2,25,12500,11.085122799995588
1,2,svm_l1,5,0.0,True,4,25,12500,10.550984100002097
1,2,xgboost,1,0.0,True,1,25,12500,11.193172599989339
1,2,xgboost,2,0.0,True,2,25,12500,10.660044599993853
1,2,xgboost,3,0.0,True,1,25,12500,10.514673600002425
1,2,xgboost,4,0.0,True,2,25,12500,11.28467079999973
1,2,xgboost,5,0.0,True,1,25,12500,10.852063900005305
1,2,boruta_rf,1,0.0,True,1,25,12500,10.984926600009203
1,2,boruta_rf,2,0.0,True,2,25,12500,11.23866070000804
1,2,boruta_rf,3,0.0,True,3,25,12500,10.515925899991998
1,2,boruta_rf,4,0.0,True,2,25,12500,10.51536470001156
1,2,boruta_rf,5,0.0,True,2,25,12500,10.579258900004788
1,3,svm_l1,1,0.0,True,2,25,12500,10.934012800003984
1,3,svm_l1,2,0.0,True,2,25,12500,10.469035500005702
1,3,svm_l1,3,0.0,True,4,25,12500,10.480426599999191
1,3,svm_l1,4,0.00225623933168273,True,4,25,12500,10.418325600010576
1,3,svm_l1,5,0.0,True,2,25,12500,10.38105879999057
1,3,xgboost,1,0.008593414569644353,True,3,25,12500,5.203609300006065
1,3,xgboost,2,0.0,True,2,25,12500,4.82911829999648
1,3,xgboost,3,0.0001368097575867866,True,5,25,12500,9.801648599997861
1,3,xgboost,4,0.008585787968966585,True,4,25,12500,13.157843300010427
1,3,xgboost,5,0.006547988327244125,True,4,25,12500,11.306702699992456
1,3,boruta_rf,1,0.009036426006947762,True,3,25,12500,10.20787929999642
1,3,boruta_rf,2,0.0,True,2,25,12500,10.18364709999878
1,3,boruta_rf,3,0.0,True,1,25,12500,9.877576400001999
1,3,boruta_rf,4,0.0,True,1,25,12500,9.87933100000373
1,3,boruta_rf,5,0.0,True,2,25,12500,10.387726799992379
1,4,svm_l1,1,0.0,True,1,25,12500,10.459092400007648
1,4,svm_l1,2,0.0,True,2,25,12500,9.426407999999356
1,4,svm_l1,3,0.0,True,2,25,12500,9.593127800006187
1,4,svm_l1,4,0.0,True,1,25,12500,9.632115200001863
1,4,svm_l1,5,0.0,True,1,25,12500,10.403518399994937
1,4,xgboost,1,0.0,True,1,25,12500,9.86532250000164
1,4,xgboost,2,0.004401439291493059,True,4,25,12500,9.851276000001235
1,4,xgboost,3,0.0,True,2,25,12500,9.490877999996883
1,4,xgboost,4,0.0,True,2,25,12500,9.838250499989954
1,4,xgboost,5,0.0,True,2,25,12500,9.710244300003978
1,4,boruta_rf,1,0.0,True,1,25,12500,10.000869299998158
1,4,boruta_rf,2,0.004547131514873071,True,3,25,12500,10.77727550000418
1,4,boruta_rf,3,0.0,True,1,25,12500,10.172791499993764
1,4,boruta_rf,4,0.0,True,1,25,12500,10.3670659000054
1,4,boruta_rf,5,0.004598937529801228,True,3,25,12500,10.927021800001967
1,5,svm_l1,1,0.0,True,1,25,12500,10.23275919999287
1,5,svm_l1,2,0.0,True,1,25,12500,9.941573899996001
1,5,svm_l1,3,0.0022189435351906983,True,3,25,12500,9.741659699997399
1,5,svm_l1,4,0.0,True,1,25,12500,9.531128000002354
1,5,svm_l1,5,0.006756194278179861,True,3,25,12500,9.348035299990443
1,5,xgboost,1,0.0,True,1,25,12500,10.176476000007824
1,5,xgboost,2,0.0,True,3,25,12500,11.499390099997981
1,5,xgboost,3,0.0017781982165182564,True,3,25,12500,11.491547799989348
1,5,xgboost,4,0.0,True,1,25,12500,11.463523500002339
1,5,xgboost,5,0.0,True,1,25,12500,10.385344299997087
1,5,boruta_rf,1,0.003976417451099223,True,4,25,12500,10.569322800001828
1,5,boruta_rf,2,0.00710033637777252,True,3,25,12500,10.245924599992577
1,5,boruta_rf,3,0.004383943201611729,True,3,25,12500,9.893515499992645
1,5,boruta_rf,4,0.0,True,2,25,12500,10.166098700006842
1,5,boruta_rf,5,0.0,True,1,25,12500,10.492022699996596
2,1,svm_l1,1,0.0,True,1,25,12500,9.964001200001803
2,1,svm_l1,2,0.0,True,3,25,12500,9.715171200004988
2,1,svm_l1,3,0.007227233759218743,True,3,25,12500,10.539053300002706
2,1,svm_l1,4,0.0,True,1,25,12500,10.307155100003001
2,1,svm_l1,5,0.007389320070216976,True,3,25,12500,9.884690100006992
2,1,xgboost,1,0.0,True,3,25,12500,10.52243090000411
2,1,xgboost,2,0.0,True,3,25,12500,10.733819300003233
2,1,xgboost,3,0.0,True,2,25,12500,10.693110299995169
2,1,xgboost,4,0.0,True,2,25,12500,10.620910800003912
2,1,xgboost,5,0.0,True,1,25,12500,10.511562100000447
2,1,boruta_rf,1,0.0,True,2,25,12500,10.658694900004775
2,1,boruta_rf,2,0.000835721305033843,True,4,25,12500,10.127615600009449
2,1,boruta_rf,3,0.009186266852531433,True,3,25,12500,10.261849400005303
2,1,boruta_rf,4,0.0,True,3,25,12500,10.866042599998764
2,1,boruta_rf,5,0.0,True,1,25,12500,10.216814899991732
2,2,svm_l1,1,0.0,True,2,25,12500,10.700758599996334
2,2,svm_l1,2,0.0,True,4,25,12500,10.702591300010681
2,2,svm_l1,3,0.001360435290688855,True,3,25,12500,9.80496179999318
2,2,svm_l1,4,0.0,True,2,25,12500,9.834224999998696
2,2,svm_l1,5,0.0,True,1,25,12500,9.981497999993735
2,2,xgboost,1,0.0,True,1,25,12500,10.769731500011403
2,2,xgboost,2,0.0,True,1,25,12500,10.434785000004922
2,2,xgboost,3,0.0,True,3,25,12500,10.285078700006125
2,2,xgboost,4,0.0,True,1,25,12500,10.471630700005335
2,2,xgboost,5,0.0,True,2,25,12500,10.533364599992638
2,2,boruta_rf,1,0.002277355396910208,True,4,25,12500,9.71894710000197
2,2,boruta_rf,2,0.0,True,2,25,12500,9.605849599989597
2,2,boruta_rf,3,0.007069835770581401,True,3,25,12500,9.75041420001071
2,2,boruta_rf,4,0.0,True,2,25,12500,9.570171200000914
2,2,boruta_rf,5,0.0,True,4,25,12500,9.881827000004705
2,3,svm_l1,1,0.0062478299403094795,True,4,25,12500,9.84978720000072
2,3,svm_l1,2,0.0037709947756775497,True,4,25,12500,9.332971900003031
2,3,svm_l1,3,0.0,True,2,25,12500,9.364025099988794
2,3,svm_l1,4,0.007701556914130991,True,4,25,12500,9.559408000000985
2,3,svm_l1,5,0.008630968023912722,True,4,25,12500,9.66619279999577
2,3,xgboost,1,0.0,True,2,25,12500,9.831451199992443
2,3,xgboost,2,0.00991421445300844,True,3,25,12500,9.74816610000562
2,3,xgboost,3,0.0,True,1,25,12500,9.43144260000554
2,3,xgboost,4,0.0,True,2,25,12500,9.379470900006709
2,3,xgboost,5,0.0,True,3,25,12500,9.34404139999242
2,3,boruta_rf,1,0.0,True,2,25,12500,9.466103500002646
2,3,boruta_rf,2,0.0,True,1,25,12500,9.279681100000744
2,3,boruta_rf,3,0.0,True,1,25,12500,9.387067300005583
2,3,boruta_rf,4,0.0052604595309309055,True,3,25,12500,9.431913100008387
2,3,boruta_rf,5,0.0,True,3,25,12500,9.52140870000585
2,4,svm_l1,1,0.0,True,3,25,12500,9.465683799993712
2,4,svm_l1,2,0.0,True,1,25,12500,9.499682100009522
2,4,svm_l1,3,0.0,True,2,25,12500,9.179738499995437
2,4,svm_l1,4,0.0,True,1,25,12500,9.258124499989208
2,4,svm_l1,5,0.0,True,1,25,12500,9.36349920000066
2,4,xgboost,1,0.0,True,1,25,12500,9.766051499987952
2,4,xgboost,2,0.006094135314893445,True,3,25,12500,9.198827200001688
2,4,xgboost,3,0.0,True,1,25,12500,9.298304399999324
2,4,xgboost,4,0.0,True,3,25,12500,9.148058500009938
2,4,xgboost,5,0.0,True,2,25,12500,9.653291200011154
2,4,boruta_rf,1,0.0,True,2,25,12500,10.065863499999978
2,4,boruta_rf,2,0.0,True,2,25,12500,9.856177699999535
2,4,boruta_rf,3,0.0,True,2,25,12500,9.676136800000677
2,4,boruta_rf,4,0.0,True,3,25,12500,9.716651299997466
2,4,boruta_rf,5,0.0,True,3,25,12500,9.846858899996732
2,5,svm_l1,1,0.0,True,2,25,12500,9.378384999989066
2,5,svm_l1,2,0.0,True,1,25,12500,9.838919599991641
2,5,svm_l1,3,0.0,True,1,25,12500,9.221294700008002
2,5,svm_l1,4,0.0,True,2,25,12500,9.569772000002558
2,5,svm_l1,5,0.0,True,3,25,12500,9.124804799997946
2,5,xgboost,1,0.0,True,3,25,12500,4.565646099988953
2,5,xgboost,2,0.0,True,1,25,12500,4.458027000000584
2,5,xgboost,3,0.0,True,2,25,12500,4.651451799989445
2,5,xgboost,4,0.0,True,1,25,12500,4.6491567000048235
2,5,xgboost,5,0.0,True,3,25,12500,4.5698647999961395
2,5,boruta_rf,1,0.0,True,1,25,12500,9.95346960000461
2,5,boruta_rf,2,0.0,True,1,25,12500,9.581961200005026
2,5,boruta_rf,3,0.0012099380072387866,True,3,25,12500,9.17824649999966
2,5,boruta_rf,4,0.005256322406622549,True,3,25,12500,9.172100700001465
2,5,boruta_rf,5,0.0,True,2,25,12500,9.201916800011531
