outer_repeat,outer_fold,branch,method,feature_count,rna_count,scnv_count
1,1,svm_l1,direct,82,80,2
1,1,svm_l1,rfecv_only,15,14,1
1,1,svm_l1,highest_locking_score,15,15,0
1,1,svm_l1,legacy_top3_medoid,15,15,0
1,1,svm_l1,unrestricted_medoid,15,15,0
1,1,svm_l1,regret_constrained_medoid,15,15,0
1,1,xgboost,direct,100,98,2
1,1,xgboost,rfecv_only,20,20,0
1,1,xgboost,highest_locking_score,20,19,1
1,1,xgboost,legacy_top3_medoid,20,20,0
1,1,xgboost,unrestricted_medoid,20,19,1
1,1,xgboost,regret_constrained_medoid,20,19,1
1,1,boruta_rf,direct,100,100,0
1,1,boruta_rf,rfecv_only,8,8,0
1,1,boruta_rf,highest_locking_score,18,18,0
1,1,boruta_rf,legacy_top3_medoid,15,15,0
1,1,boruta_rf,unrestricted_medoid,18,18,0
1,1,boruta_rf,regret_constrained_medoid,18,18,0
1,2,svm_l1,direct,75,72,3
1,2,svm_l1,rfecv_only,15,15,0
1,2,svm_l1,highest_locking_score,15,14,1
1,2,svm_l1,legacy_top3_medoid,15,14,1
1,2,svm_l1,unrestricted_medoid,15,13,2
1,2,svm_l1,regret_constrained_medoid,15,14,1
1,2,xgboost,direct,100,100,0
1,2,xgboost,rfecv_only,20,20,0
1,2,xgboost,highest_locking_score,20,20,0
1,2,xgboost,legacy_top3_medoid,20,20,0
1,2,xgboost,unrestricted_medoid,20,20,0
1,2,xgboost,regret_constrained_medoid,20,20,0
1,2,boruta_rf,direct,100,100,0
1,2,boruta_rf,rfecv_only,7,7,0
1,2,boruta_rf,highest_locking_score,18,18,0
1,2,boruta_rf,legacy_top3_medoid,19,19,0
1,2,boruta_rf,unrestricted_medoid,14,14,0
1,2,boruta_rf,regret_constrained_medoid,18,18,0
1,3,svm_l1,direct,83,81,2
1,3,svm_l1,rfecv_only,15,14,1
1,3,svm_l1,highest_locking_score,15,14,1
1,3,svm_l1,legacy_top3_medoid,15,14,1
1,3,svm_l1,unrestricted_medoid,16,16,0
1,3,svm_l1,regret_constrained_medoid,15,14,1
1,3,xgboost,direct,100,99,1
1,3,xgboost,rfecv_only,20,19,1
1,3,xgboost,highest_locking_score,20,20,0
1,3,xgboost,legacy_top3_medoid,20,20,0
1,3,xgboost,unrestricted_medoid,20,20,0
1,3,xgboost,regret_constrained_medoid,20,20,0
1,3,boruta_rf,direct,100,100,0
1,3,boruta_rf,rfecv_only,10,10,0
1,3,boruta_rf,highest_locking_score,17,17,0
1,3,boruta_rf,legacy_top3_medoid,21,21,0
1,3,boruta_rf,unrestricted_medoid,20,20,0
1,3,boruta_rf,regret_constrained_medoid,21,21,0
1,4,svm_l1,direct,86,76,10
1,4,svm_l1,rfecv_only,6,5,1
1,4,svm_l1,highest_locking_score,16,14,2
1,4,svm_l1,legacy_top3_medoid,12,11,1
1,4,svm_l1,unrestricted_medoid,16,14,2
1,4,svm_l1,regret_constrained_medoid,16,14,2
1,4,xgboost,direct,100,95,5
1,4,xgboost,rfecv_only,20,18,2
1,4,xgboost,highest_locking_score,20,19,1
1,4,xgboost,legacy_top3_medoid,20,19,1
1,4,xgboost,unrestricted_medoid,20,20,0
1,4,xgboost,regret_constrained_medoid,20,19,1
1,4,boruta_rf,direct,100,100,0
1,4,boruta_rf,rfecv_only,8,8,0
1,4,boruta_rf,highest_locking_score,14,14,0
1,4,boruta_rf,legacy_top3_medoid,17,17,0
1,4,boruta_rf,unrestricted_medoid,20,20,0
1,4,boruta_rf,regret_constrained_medoid,17,17,0
1,5,svm_l1,direct,88,82,6
1,5,svm_l1,rfecv_only,10,8,2
1,5,svm_l1,highest_locking_score,16,16,0
1,5,svm_l1,legacy_top3_medoid,12,12,0
1,5,svm_l1,unrestricted_medoid,15,15,0
1,5,svm_l1,regret_constrained_medoid,12,12,0
1,5,xgboost,direct,100,99,1
1,5,xgboost,rfecv_only,16,15,1
1,5,xgboost,highest_locking_score,19,19,0
1,5,xgboost,legacy_top3_medoid,19,19,0
1,5,xgboost,unrestricted_medoid,19,19,0
1,5,xgboost,regret_constrained_medoid,19,19,0
1,5,boruta_rf,direct,100,100,0
1,5,boruta_rf,rfecv_only,10,10,0
1,5,boruta_rf,highest_locking_score,20,20,0
1,5,boruta_rf,legacy_top3_medoid,20,20,0
1,5,boruta_rf,unrestricted_medoid,18,18,0
1,5,boruta_rf,regret_constrained_medoid,20,20,0
2,1,svm_l1,direct,71,67,4
2,1,svm_l1,rfecv_only,14,14,0
2,1,svm_l1,highest_locking_score,14,13,1
2,1,svm_l1,legacy_top3_medoid,14,14,0
2,1,svm_l1,unrestricted_medoid,14,13,1
2,1,svm_l1,regret_constrained_medoid,14,13,1
2,1,xgboost,direct,100,100,0
2,1,xgboost,rfecv_only,20,20,0
2,1,xgboost,highest_locking_score,20,20,0
2,1,xgboost,legacy_top3_medoid,20,20,0
2,1,xgboost,unrestricted_medoid,20,20,0
2,1,xgboost,regret_constrained_medoid,20,20,0
2,1,boruta_rf,direct,100,100,0
2,1,boruta_rf,rfecv_only,8,8,0
2,1,boruta_rf,highest_locking_score,18,18,0
2,1,boruta_rf,legacy_top3_medoid,18,18,0
2,1,boruta_rf,unrestricted_medoid,15,15,0
2,1,boruta_rf,regret_constrained_medoid,18,18,0
2,2,svm_l1,direct,79,76,3
2,2,svm_l1,rfecv_only,15,15,0
2,2,svm_l1,highest_locking_score,15,15,0
2,2,svm_l1,legacy_top3_medoid,15,15,0
2,2,svm_l1,unrestricted_medoid,15,15,0
2,2,svm_l1,regret_constrained_medoid,15,15,0
2,2,xgboost,direct,100,99,1
2,2,xgboost,rfecv_only,19,19,0
2,2,xgboost,highest_locking_score,19,19,0
2,2,xgboost,legacy_top3_medoid,20,20,0
2,2,xgboost,unrestricted_medoid,20,20,0
2,2,xgboost,regret_constrained_medoid,20,20,0
2,2,boruta_rf,direct,100,100,0
2,2,boruta_rf,rfecv_only,10,10,0
2,2,boruta_rf,highest_locking_score,17,17,0
2,2,boruta_rf,legacy_top3_medoid,22,22,0
2,2,boruta_rf,unrestricted_medoid,22,22,0
2,2,boruta_rf,regret_constrained_medoid,17,17,0
2,3,svm_l1,direct,90,86,4
2,3,svm_l1,rfecv_only,9,8,1
2,3,svm_l1,highest_locking_score,16,15,1
2,3,svm_l1,legacy_top3_medoid,12,11,1
2,3,svm_l1,unrestricted_medoid,13,12,1
2,3,svm_l1,regret_constrained_medoid,16,15,1
2,3,xgboost,direct,100,95,5
2,3,xgboost,rfecv_only,20,17,3
2,3,xgboost,highest_locking_score,20,18,2
2,3,xgboost,legacy_top3_medoid,20,19,1
2,3,xgboost,unrestricted_medoid,20,20,0
2,3,xgboost,regret_constrained_medoid,20,19,1
2,3,boruta_rf,direct,100,100,0
2,3,boruta_rf,rfecv_only,9,9,0
2,3,boruta_rf,highest_locking_score,20,20,0
2,3,boruta_rf,legacy_top3_medoid,12,12,0
2,3,boruta_rf,unrestricted_medoid,17,17,0
2,3,boruta_rf,regret_constrained_medoid,12,12,0
2,4,svm_l1,direct,71,70,1
2,4,svm_l1,rfecv_only,15,14,1
2,4,svm_l1,highest_locking_score,15,14,1
2,4,svm_l1,legacy_top3_medoid,15,14,1
2,4,svm_l1,unrestricted_medoid,15,15,0
2,4,svm_l1,regret_constrained_medoid,15,15,0
2,4,xgboost,direct,100,98,2
2,4,xgboost,rfecv_only,19,18,1
2,4,xgboost,highest_locking_score,21,20,1
2,4,xgboost,legacy_top3_medoid,19,19,0
2,4,xgboost,unrestricted_medoid,19,19,0
2,4,xgboost,regret_constrained_medoid,21,20,1
2,4,boruta_rf,direct,100,100,0
2,4,boruta_rf,rfecv_only,9,9,0
2,4,boruta_rf,highest_locking_score,19,19,0
2,4,boruta_rf,legacy_top3_medoid,19,19,0
2,4,boruta_rf,unrestricted_medoid,16,16,0
2,4,boruta_rf,regret_constrained_medoid,19,19,0
2,5,svm_l1,direct,85,82,3
2,5,svm_l1,rfecv_only,13,12,1
