outer_repeat,outer_fold,branch,method,features,feature_count
1,1,svm_l1,direct,"[""RNA::ABCG1"", ""RNA::ADAM2"", ""RNA::AK2"", ""RNA::ANKRD27"", ""RNA::ANO2"", ""RNA::AQP7P1"", ""RNA::AQP7P3"", ""RNA::ARV1"", ""RNA::ATP5EP2"", ""RNA::ATP8B5P"", ""RNA::BRF2"", ""RNA::C12orf43"", ""RNA::C15orf21"", ""RNA::C1orf123"", ""RNA::C4A"", ""RNA::CARD8"", ""RNA::CASP1"", ""RNA::CDK11B"", ""RNA::CHRNA7"", ""RNA::CT45A3"", ""RNA::CYTL1"", ""RNA::DMBX1"", ""RNA::FAM125B"", ""RNA::FAM159A"", ""RNA::FHL3"", ""RNA::FOXD3"", ""RNA::FTHL3"", ""RNA::FXN"", ""RNA::FYCO1"", ""RNA::GCSH"", ""RNA::GPR182"", ""RNA::H3F3C"", ""RNA::HAPLN1"", ""RNA::HCG22"", ""RNA::HECTD3"", ""RNA::HIST1H4H"", ""RNA::HTN3"", ""RNA::IL12A"", ""RNA::KRTAP4-7"", ""RNA::LAYN"", ""RNA::LEKR1"", ""RNA::LOC100240726"", ""RNA::LOC100288778"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::LOC728643"", ""RNA::LSM14A"", ""RNA::MFNG"", ""RNA::MFSD2B"", ""RNA::MIA"", ""RNA::MRPS10"", ""RNA::MSX2"", ""RNA::MSX2P1"", ""RNA::MYH6"", ""RNA::MYOZ2"", ""RNA::NACAP1"", ""RNA::NANP"", ""RNA::NECAP2"", ""RNA::NIF3L1"", ""RNA::NUDT3"", ""RNA::PA2G4P4"", ""RNA::PGA5"", ""RNA::PLEKHA4"", ""RNA::PMP2"", ""RNA::POLR2C"", ""RNA::PPIAL4C"", ""RNA::RBBP7"", ""RNA::SH3BGRL3"", ""RNA::SRXN1"", ""RNA::STC2"", ""RNA::SUMO1P3"", ""RNA::SUSD3"", ""RNA::SYF2"", ""RNA::TFF2"", ""RNA::THRAP3"", ""RNA::TMEM149"", ""RNA::TRIM35"", ""RNA::TRIM48"", ""RNA::ZNF263"", ""RNA::ZNF75D"", ""SCNV::KCTD15"", ""SCNV::LINC00662""]",82
1,1,svm_l1,rfecv_only,"[""RNA::ABCG1"", ""RNA::AK2"", ""RNA::CARD8"", ""RNA::FTHL3"", ""RNA::GCSH"", ""RNA::LEKR1"", ""RNA::LOC643387"", ""RNA::LOC728643"", ""RNA::LSM14A"", ""RNA::NACAP1"", ""RNA::PLEKHA4"", ""RNA::PPIAL4C"", ""RNA::SUMO1P3"", ""RNA::SYF2"", ""SCNV::KCTD15""]",15
1,1,svm_l1,highest_locking_score,"[""RNA::ADAM2"", ""RNA::C15orf21"", ""RNA::FTHL3"", ""RNA::HIST1H4H"", ""RNA::KRTAP4-7"", ""RNA::LAYN"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::MIA"", ""RNA::MRPS10"", ""RNA::NUDT3"", ""RNA::PLEKHA4"", ""RNA::THRAP3"", ""RNA::TRIM48"", ""RNA::ZNF75D""]",15
1,1,svm_l1,legacy_top3_medoid,"[""RNA::BRF2"", ""RNA::CYTL1"", ""RNA::FAM159A"", ""RNA::FXN"", ""RNA::HTN3"", ""RNA::LAYN"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::LOC728643"", ""RNA::MFSD2B"", ""RNA::MIA"", ""RNA::PGA5"", ""RNA::PPIAL4C"", ""RNA::TRIM35"", ""RNA::ZNF75D""]",15
1,1,svm_l1,unrestricted_medoid,"[""RNA::BRF2"", ""RNA::CYTL1"", ""RNA::FAM159A"", ""RNA::FXN"", ""RNA::HTN3"", ""RNA::LAYN"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::LOC728643"", ""RNA::MFSD2B"", ""RNA::MIA"", ""RNA::PGA5"", ""RNA::PPIAL4C"", ""RNA::TRIM35"", ""RNA::ZNF75D""]",15
1,1,svm_l1,regret_constrained_medoid,"[""RNA::BRF2"", ""RNA::CYTL1"", ""RNA::FAM159A"", ""RNA::FXN"", ""RNA::HTN3"", ""RNA::LAYN"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::LOC728643"", ""RNA::MFSD2B"", ""RNA::MIA"", ""RNA::PGA5"", ""RNA::PPIAL4C"", ""RNA::TRIM35"", ""RNA::ZNF75D""]",15
1,1,xgboost,direct,"[""RNA::AAA1"", ""RNA::ABI1"", ""RNA::ACSM5"", ""RNA::ALG14"", ""RNA::ALKBH3"", ""RNA::ANKHD1-EIF4EBP3"", ""RNA::ANKRD12"", ""RNA::ANKRD31"", ""RNA::ANO2"", ""RNA::ANXA10"", ""RNA::APOC4"", ""RNA::ARFIP2"", ""RNA::ASAP3"", ""RNA::ATP8B5P"", ""RNA::ATXN7"", ""RNA::C11orf70"", ""RNA::C14orf68"", ""RNA::C14orf70"", ""RNA::C15orf21"", ""RNA::C15orf5"", ""RNA::C15orf55"", ""RNA::C17orf102"", ""RNA::C17orf103"", ""RNA::C1orf116"", ""RNA::C5orf60"", ""RNA::CAMK2G"", ""RNA::CCDC41"", ""RNA::CDH20"", ""RNA::CDK11B"", ""RNA::CECR7"", ""RNA::CP"", ""RNA::CST6"", ""RNA::CT45A1"", ""RNA::CXorf26"", ""RNA::CYTSB"", ""RNA::DEGS2"", ""RNA::DNALI1"", ""RNA::EEF1A1P9"", ""RNA::EIF1B"", ""RNA::FAM40A"", ""RNA::FBXO21"", ""RNA::FCHSD2"", ""RNA::FMOD"", ""RNA::GALNS"", ""RNA::GCSH"", ""RNA::GMPS"", ""RNA::GPR182"", ""RNA::GTPBP5"", ""RNA::HNRNPA3P1"", ""RNA::KCNH4"", ""RNA::KDELR1"", ""RNA::KIAA0195"", ""RNA::KIAA0649"", ""RNA::KIAA1024"", ""RNA::LCN12"", ""RNA::LEPREL2"", ""RNA::LOC146481"", ""RNA::LRRC42"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::MFSD2B"", ""RNA::MKRN2"", ""RNA::MN1"", ""RNA::MORF4L1"", ""RNA::MTHFR"", ""RNA::MYO1C"", ""RNA::NADK"", ""RNA::NFIA"", ""RNA::NKX2-8"", ""RNA::NOP58"", ""RNA::NTHL1"", ""RNA::OPA3"", ""RNA::PAFAH1B1"", ""RNA::PLSCR1"", ""RNA::PMPCA"", ""RNA::PPP3CC"", ""RNA::PRR5L"", ""RNA::PRSS48"", ""RNA::PYGO2"", ""RNA::RCN1"", ""RNA::RGS2"", ""RNA::RPL5"", ""RNA::RTKN"", ""RNA::SC65"", ""RNA::SCARF2"", ""RNA::SH2D1A"", ""RNA::SHF"", ""RNA::SLC10A3"", ""RNA::SLC7A11"", ""RNA::SMOC2"", ""RNA::SRP68"", ""RNA::TARP"", ""RNA::THBS3"", ""RNA::TMOD2"", ""RNA::TRIM67"", ""RNA::UPF0639"", ""RNA::UPF3B"", ""RNA::ZDHHC21"", ""SCNV::ACAP3"", ""SCNV::RN7SL420P""]",100
1,1,xgboost,rfecv_only,"[""RNA::ANKRD12"", ""RNA::ASAP3"", ""RNA::ATP8B5P"", ""RNA::C15orf21"", ""RNA::CP"", ""RNA::DEGS2"", ""RNA::DNALI1"", ""RNA::EEF1A1P9"", ""RNA::FCHSD2"", ""RNA::GCSH"", ""RNA::HNRNPA3P1"", ""RNA::KDELR1"", ""RNA::LRRC42"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::MFSD2B"", ""RNA::NADK"", ""RNA::NFIA"", ""RNA::PLSCR1"", ""RNA::TMOD2""]",20
1,1,xgboost,highest_locking_score,"[""RNA::ANKRD12"", ""RNA::ATXN7"", ""RNA::C14orf70"", ""RNA::C1orf116"", ""RNA::CAMK2G"", ""RNA::CP"", ""RNA::EEF1A1P9"", ""RNA::GCSH"", ""RNA::GPR182"", ""RNA::HNRNPA3P1"", ""RNA::KDELR1"", ""RNA::OPA3"", ""RNA::PLSCR1"", ""RNA::PMPCA"", ""RNA::SCARF2"", ""RNA::SHF"", ""RNA::SRP68"", ""RNA::TMOD2"", ""RNA::UPF3B"", ""SCNV::RN7SL420P""]",20
1,1,xgboost,legacy_top3_medoid,"[""RNA::ALKBH3"", ""RNA::ANKHD1-EIF4EBP3"", ""RNA::APOC4"", ""RNA::CDH20"", ""RNA::CP"", ""RNA::DNALI1"", ""RNA::FBXO21"", ""RNA::GCSH"", ""RNA::KCNH4"", ""RNA::KIAA0195"", ""RNA::LRRC42"", ""RNA::MORF4L1"", ""RNA::MTHFR"", ""RNA::NADK"", ""RNA::NKX2-8"", ""RNA::PMPCA"", ""RNA::PRR5L"", ""RNA::PYGO2"", ""RNA::SLC7A11"", ""RNA::UPF3B""]",20
