outer_repeat,branch,fold_left,fold_right,jaccard,cardinality_similarity,left_count,right_count
1,svm_l1,1,2,0.034482758620689655,1.0,15,15
1,svm_l1,1,3,0.0,1.0,15,15
1,svm_l1,1,4,0.06896551724137931,0.9375,15,16
1,svm_l1,1,5,0.038461538461538464,0.8,15,12
1,svm_l1,2,3,0.07142857142857142,1.0,15,15
1,svm_l1,2,4,0.0,0.9375,15,16
1,svm_l1,2,5,0.0,0.8,15,12
1,svm_l1,3,4,0.0,0.9375,15,16
1,svm_l1,3,5,0.08,0.8,15,12
1,svm_l1,4,5,0.0,0.75,16,12
1,xgboost,1,2,0.0,1.0,20,20
1,xgboost,1,3,0.0,1.0,20,20
1,xgboost,1,4,0.0,1.0,20,20
1,xgboost,1,5,0.02631578947368421,0.95,20,19
1,xgboost,2,3,0.02564102564102564,1.0,20,20
1,xgboost,2,4,0.0,1.0,20,20
1,xgboost,2,5,0.02631578947368421,0.95,20,19
1,xgboost,3,4,0.02564102564102564,1.0,20,20
1,xgboost,3,5,0.0,0.95,20,19
1,xgboost,4,5,0.0,0.95,20,19
1,boruta_rf,1,2,0.0,1.0,18,18
1,boruta_rf,1,3,0.08333333333333333,0.8571428571428571,18,21
1,boruta_rf,1,4,0.029411764705882353,0.9444444444444444,18,17
1,boruta_rf,1,5,0.11764705882352941,0.9,18,20
1,boruta_rf,2,3,0.05405405405405406,0.8571428571428571,18,21
1,boruta_rf,2,4,0.06060606060606061,0.9444444444444444,18,17
1,boruta_rf,2,5,0.11764705882352941,0.9,18,20
1,boruta_rf,3,4,0.08571428571428572,0.8095238095238095,21,17
1,boruta_rf,3,5,0.10810810810810811,0.9523809523809523,21,20
1,boruta_rf,4,5,0.08823529411764706,0.85,17,20
2,svm_l1,1,2,0.0,0.9333333333333333,14,15
2,svm_l1,1,3,0.034482758620689655,0.875,14,16
2,svm_l1,1,4,0.03571428571428571,0.9333333333333333,14,15
2,svm_l1,1,5,0.0,0.9285714285714286,14,13
2,svm_l1,2,3,0.03333333333333333,0.9375,15,16
2,svm_l1,2,4,0.07142857142857142,1.0,15,15
2,svm_l1,2,5,0.0,0.8666666666666667,15,13
2,svm_l1,3,4,0.03333333333333333,0.9375,16,15
2,svm_l1,3,5,0.0,0.8125,16,13
2,svm_l1,4,5,0.0,0.8666666666666667,15,13
2,xgboost,1,2,0.0,1.0,20,20
2,xgboost,1,3,0.0,1.0,20,20
2,xgboost,1,4,0.0,0.9523809523809523,20,21
2,xgboost,1,5,0.0,1.0,20,20
2,xgboost,2,3,0.05263157894736842,1.0,20,20
2,xgboost,2,4,0.0,0.9523809523809523,20,21
2,xgboost,2,5,0.02564102564102564,1.0,20,20
2,xgboost,3,4,0.0,0.9523809523809523,20,21
2,xgboost,3,5,0.0,1.0,20,20
2,xgboost,4,5,0.025,0.9523809523809523,21,20
2,boruta_rf,1,2,0.029411764705882353,0.9444444444444444,18,17
2,boruta_rf,1,3,0.034482758620689655,0.6666666666666666,18,12
2,boruta_rf,1,4,0.027777777777777776,0.9473684210526315,18,19
2,boruta_rf,1,5,0.0,0.9,18,20
2,boruta_rf,2,3,0.11538461538461539,0.7058823529411765,17,12
2,boruta_rf,2,4,0.16129032258064516,0.8947368421052632,17,19
2,boruta_rf,2,5,0.05714285714285714,0.85,17,20
2,boruta_rf,3,4,0.14814814814814814,0.631578947368421,12,19
2,boruta_rf,3,5,0.0,0.6,12,20
2,boruta_rf,4,5,0.11428571428571428,0.95,19,20
