outer_repeat,outer_fold,branch,features,feature_count,rna_count,scnv_count
1,1,svm_l1,"[""RNA::BRF2"", ""RNA::CYTL1"", ""RNA::FAM159A"", ""RNA::FXN"", ""RNA::HTN3"", ""RNA::LAYN"", ""RNA::LOC643387"", ""RNA::LOC723809"", ""RNA::LOC728643"", ""RNA::MFSD2B"", ""RNA::MIA"", ""RNA::PGA5"", ""RNA::PPIAL4C"", ""RNA::TRIM35"", ""RNA::ZNF75D""]",15,15,0
1,1,xgboost,"[""RNA::ANKRD12"", ""RNA::ATXN7"", ""RNA::C14orf70"", ""RNA::C1orf116"", ""RNA::CAMK2G"", ""RNA::CP"", ""RNA::EEF1A1P9"", ""RNA::GCSH"", ""RNA::GPR182"", ""RNA::HNRNPA3P1"", ""RNA::KDELR1"", ""RNA::OPA3"", ""RNA::PLSCR1"", ""RNA::PMPCA"", ""RNA::SCARF2"", ""RNA::SHF"", ""RNA::SRP68"", ""RNA::TMOD2"", ""RNA::UPF3B"", ""SCNV::RN7SL420P""]",20,19,1
1,1,boruta_rf,"[""RNA::ACBD5"", ""RNA::AKAP6"", ""RNA::DST"", ""RNA::GPX7"", ""RNA::H3F3C"", ""RNA::HIPK2"", ""RNA::LDHA"", ""RNA::LOC100130776"", ""RNA::LOC284232"", ""RNA::LOC541471"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::MLLT6"", ""RNA::MTMR12"", ""RNA::NEK10"", ""RNA::OSTC"", ""RNA::RGPD4"", ""RNA::RPL13A""]",18,18,0
1,2,svm_l1,"[""RNA::ECHDC3"", ""RNA::GCSH"", ""RNA::GDF7"", ""RNA::HSPBAP1"", ""RNA::HTN3"", ""RNA::IL9"", ""RNA::LOC100132831"", ""RNA::MSX2"", ""RNA::NUDT3"", ""RNA::PMP2"", ""RNA::SPATS2"", ""RNA::SYF2"", ""RNA::TAOK3"", ""RNA::ZNF596"", ""SCNV::KCTD15""]",15,14,1
1,2,xgboost,"[""RNA::ADH1C"", ""RNA::ALPL"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::B3GNT5"", ""RNA::C3orf38"", ""RNA::C9orf40"", ""RNA::CARD11"", ""RNA::CPSF6"", ""RNA::CYP3A7"", ""RNA::GTF2IRD2"", ""RNA::KLF16"", ""RNA::LGALS1"", ""RNA::LOC442454"", ""RNA::NAP1L6"", ""RNA::PRR5L"", ""RNA::TMEM149"", ""RNA::TOP1P2"", ""RNA::WDR26"", ""RNA::ZSCAN29""]",20,20,0
1,2,boruta_rf,"[""RNA::ANXA2P1"", ""RNA::ATP5EP2"", ""RNA::ATP6V1C2"", ""RNA::BRD7"", ""RNA::C12orf51"", ""RNA::C22orf46"", ""RNA::CNN3"", ""RNA::CTCFL"", ""RNA::DSTYK"", ""RNA::EEF1A1P9"", ""RNA::FAM71D"", ""RNA::HDAC1"", ""RNA::HNRNPA3P1"", ""RNA::KIAA0427"", ""RNA::LOC643387"", ""RNA::MICAL3"", ""RNA::NALCN"", ""RNA::PAIP1""]",18,18,0
1,3,svm_l1,"[""RNA::ANGEL2"", ""RNA::ANKRD20B"", ""RNA::ASAP3"", ""RNA::C1orf87"", ""RNA::CAPZB"", ""RNA::CCDC102A"", ""RNA::CXorf21"", ""RNA::GCSH"", ""RNA::HNRNPA3P1"", ""RNA::IL12A"", ""RNA::MFNG"", ""RNA::RWDD2A"", ""RNA::SYF2"", ""RNA::TMEM106C"", ""SCNV::DAB1""]",15,14,1
1,3,xgboost,"[""RNA::AFF3"", ""RNA::ANP32E"", ""RNA::ARHGAP9"", ""RNA::BTLA"", ""RNA::C10orf32"", ""RNA::C3orf38"", ""RNA::C6orf147"", ""RNA::CCDC130"", ""RNA::EGR1"", ""RNA::FAM13AOS"", ""RNA::IGFBP6"", ""RNA::LOC644936"", ""RNA::MAEL"", ""RNA::PDE6A"", ""RNA::RHO"", ""RNA::RPS26P11"", ""RNA::SFRP2"", ""RNA::TRIM67"", ""RNA::TSPAN14"", ""RNA::XIRP1""]",20,20,0
1,3,boruta_rf,"[""RNA::ACBD5"", ""RNA::AKAP6"", ""RNA::ASAP3"", ""RNA::ATP8B5P"", ""RNA::BRD7"", ""RNA::C5orf53"", ""RNA::CPEB3"", ""RNA::CTCFL"", ""RNA::EDARADD"", ""RNA::ERP44"", ""RNA::FAM176B"", ""RNA::FTHL3"", ""RNA::FUT9"", ""RNA::GNG5"", ""RNA::GPN1"", ""RNA::GUSBL1"", ""RNA::HMGN5"", ""RNA::KSR1"", ""RNA::LRRTM4"", ""RNA::LYPLA1"", ""RNA::NACA2""]",21,21,0
1,4,svm_l1,"[""RNA::ATP8B5P"", ""RNA::BFAR"", ""RNA::C3orf48"", ""RNA::G6PC2"", ""RNA::GKN1"", ""RNA::LOC728643"", ""RNA::LRRC3"", ""RNA::OR6C75"", ""RNA::OR8D1"", ""RNA::PGA5"", ""RNA::PLEKHA4"", ""RNA::RHOC"", ""RNA::RNF115"", ""RNA::SYNPO2"", ""SCNV::AIM1L"", ""SCNV::PEPD""]",16,14,2
